@relation featureMatrix-weka.filters.unsupervised.attribute.Remove-R2-6

@attribute unnormalizedSpectralEntropy numeric
@attribute class {0,1}

@data
585.92,0
483.5,0
492.85,0
327.3,0
245.88,1
436.29,1
1207.5,1
1933,1
1816.1,1
2056.5,1
2784.4,1
3181.2,1
3645.6,1
4066.7,1
3855.8,1
4126.4,1
4183.6,1
4490.6,1
5087,1
4384.8,1
4695.1,1
4146.5,1
3368.2,1
2863,1
2873.5,1
2914.5,1
3155.8,1
2647.8,1
2961.7,1
2959.9,1
3006.1,1
3549,1
3433.6,1
3241.5,1
3142.3,1
3412,1
3747.8,1
4311.1,1
4642.2,1
4343,1
4327.4,1
4034,1
4082.3,1
3951,1
3641.5,1
3988.8,1
3887.2,1
3555.5,1
3462.3,1
3495.6,1
3774.2,1
3828.2,1
2966.4,1
2530.8,1
1574,1
1697.4,1
733.96,1
564.64,1
541.72,1
607.13,1
438.41,1
361.03,0
287.23,0
391.86,0
494.51,0
260.92,0
598.51,0
1357.6,0
2023,0
2760.8,0
2889.6,0
3050.3,0
3213,0
3355.2,0
3396.6,0
2200.2,0
2356.1,0
2784,0
1789.4,0
2281,0
2343.6,0
1890.4,0
1067.5,0
819.77,0
948.91,0
647.31,0
569.05,1
1139.8,1
1197.9,1
2007.9,1
2255.2,1
2072.8,1
2851.9,1
3087.9,1
3196.8,1
2815.7,1
2391,1
2249.1,1
2866.3,1
2561.9,1
2404.2,1
2715.5,1
2848.5,1
2183.2,1
2746,1
2905.5,1
2552.9,1
2926.5,1
2763.7,1
2648.8,1
2324.1,1
2186.1,1
1626.6,1
1495.6,1
1786.5,1
1600.6,1
1900.7,1
1779,1
1957.9,1
2135,1
2230.8,1
2471.2,1
2029.2,1
1954.8,1
1846.1,1
2011.1,1
2105.4,1
2260.3,1
2229.8,1
2054,1
1896.7,1
1968.8,1
1801.8,1
1884.6,1
1884.1,1
1964.9,1
2078.4,1
1842,1
2130.1,1
1973.8,1
1670,1
2015.1,1
1865.7,1
1826.5,1
1795.2,1
1881.6,1
2073.9,1
2224,1
2475,1
2514.6,1
2218.8,1
2472.2,1
2319.5,1
2403.1,1
2438.9,1
2553.8,1
2738.1,1
2944.9,1
2991.9,1
2565.2,1
2930.2,1
2900.1,1
2960,1
3138.6,1
3216,1
2846.5,1
2780.1,1
2682.5,1
4165,1
6170.4,1
4878.6,1
8303.6,1
7573.8,1
7815.9,1
7006.6,1
6432,1
6096.2,1
4894,1
5070.3,1
4226.3,1
3879.2,1
