@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute class {0,1}

@data
0,0
0,0
9.3537,0
0,0
0,1
190.41,1
961.64,1
1687.1,1
1570.2,1
1810.6,1
2538.5,1
2935.4,1
3399.7,1
3820.8,1
3609.9,1
3880.5,1
3937.7,1
4244.7,1
4841.1,1
4139,1
4449.2,1
3900.6,1
3122.3,1
2617.1,1
2627.6,1
2668.6,1
2910,1
2401.9,1
2715.8,1
2714,1
2760.2,1
3303.1,1
3187.7,1
2995.6,1
2896.4,1
3166.1,1
3502,1
4065.3,1
4396.3,1
4097.2,1
4081.5,1
3788.1,1
3836.4,1
3705.2,1
3395.6,1
3742.9,1
3641.3,1
3309.6,1
3216.5,1
3249.7,1
3528.3,1
3582.3,1
2720.5,1
2284.9,1
1328.1,1
1451.5,1
488.08,1
318.76,1
295.84,1
361.25,1
192.53,1
115.15,0
41.352,0
145.98,0
248.63,0
15.035,0
352.63,0
1111.7,0
1777.1,0
2514.9,0
2643.8,0
2804.4,0
2967.1,0
3109.3,0
3150.7,0
1954.3,0
2110.2,0
2538.1,0
1543.6,0
2035.1,0
2097.7,0
1644.5,0
821.61,0
573.89,0
703.03,0
401.43,0
323.16,1
893.88,1
951.99,1
1762,1
2009.4,1
1826.9,1
2606.1,1
2842,1
2950.9,1
2569.9,1
2145.1,1
2003.2,1
2620.4,1
2316,1
2158.3,1
2469.6,1
2602.7,1
1937.3,1
2500.1,1
2659.6,1
2307,1
2680.6,1
2517.8,1
2402.9,1
2078.2,1
1940.2,1
1380.7,1
1249.7,1
1540.7,1
1354.7,1
1654.8,1
1533.1,1
1712,1
1889.1,1
1985,1
2225.3,1
1783.3,1
1708.9,1
1600.2,1
1765.2,1
1859.5,1
2014.4,1
1983.9,1
1808.1,1
1650.8,1
1723,1
1555.9,1
1638.8,1
1638.2,1
1719,1
1832.6,1
1596.1,1
1884.2,1
1727.9,1
1424.1,1
1769.3,1
1619.8,1
1580.6,1
1549.3,1
1635.7,1
1828,1
1978.1,1
2229.2,1
2268.7,1
1972.9,1
2226.3,1
2073.7,1
2157.3,1
2193,1
2308,1
2492.3,1
2699.1,1
2746,1
2319.3,1
2684.3,1
2654.2,1
2714.1,1
2892.7,1
2970.1,1
2600.7,1
2534.3,1
2436.6,1
3919.1,1
5924.5,1
4632.8,1
8057.8,1
7327.9,1
7570,1
6760.7,1
6186.1,1
5850.3,1
4648.1,1
4824.4,1
3980.4,1
3633.3,1
3833.7,1
2131.9,1
2423,1
2022.5,1
1503.9,1
1559.6,1
1730.3,1
2106.2,1
2166.9,1
3928,1
2597.8,1
