@relation featureMatrix-weka.filters.unsupervised.attribute.Remove-R2-4

@attribute cepstralMostDominantPeak numeric
@attribute class {0,1}

@data
0.007866,0
0.009741,0
0.007961,0
0.014013,0
0.012667,1
0.017985,1
0.028237,1
0.045281,1
0.10461,1
0.1153,1
0.11359,1
0.13852,1
0.18508,1
0.16749,1
0.17311,1
0.16144,1
0.16064,1
0.19497,1
0.16592,1
0.20131,1
0.17541,1
0.18867,1
0.18161,1
0.15937,1
0.14636,1
0.15135,1
0.16524,1
0.14317,1
0.17145,1
0.1682,1
0.14129,1
0.13966,1
0.15864,1
0.15221,1
0.13586,1
0.14461,1
0.14206,1
0.14231,1
0.15437,1
0.14944,1
0.15068,1
0.14984,1
0.14998,1
0.15855,1
0.18081,1
0.1539,1
0.16107,1
0.13408,1
0.11631,1
0.093891,1
0.099165,1
0.10263,1
0.084584,1
0.075704,1
0.065545,1
0.056928,1
0.044509,1
0.028521,1
0.02195,1
0.01631,1
0.011768,1
0.013908,0
0.013608,0
0.008867,0
0.003286,0
0.006681,0
0.006846,0
0.007408,0
0.010099,0
0.013898,0
0.014317,0
0.012501,0
0.011225,0
0.010911,0
0.010537,0
0.014168,0
0.016143,0
0.010786,0
0.007737,0
0.005043,0
0.003457,0
0.002486,0
0.001994,0
0.001669,0
0.003069,0
0.005043,0
0.007387,1
0.030283,1
0.08999,1
0.087095,1
0.10017,1
0.1301,1
0.1316,1
0.12319,1
0.12861,1
0.13812,1
0.11315,1
0.12948,1
0.12365,1
0.13231,1
0.13398,1
0.12188,1
0.13929,1
0.12914,1
0.13092,1
0.13526,1
0.14548,1
0.13352,1
0.11501,1
0.1265,1
0.13051,1
0.12533,1
0.12602,1
0.1175,1
0.11251,1
0.12269,1
0.13289,1
0.13278,1
0.14616,1
0.12673,1
0.13332,1
0.13769,1
0.13262,1
0.12857,1
0.12446,1
0.11749,1
0.12291,1
0.14514,1
0.12783,1
0.1355,1
0.13094,1
0.14022,1
0.13634,1
0.12206,1
0.1295,1
0.12339,1
0.13409,1
0.1454,1
0.14124,1
0.15077,1
0.14887,1
0.13653,1
0.14599,1
0.1469,1
0.14653,1
0.15294,1
0.16017,1
0.15678,1
0.13855,1
0.10138,1
0.15457,1
0.1568,1
0.14371,1
0.14161,1
0.1228,1
0.11702,1
0.10743,1
0.12684,1
0.10834,1
0.1114,1
0.11893,1
0.12233,1
0.12061,1
0.12352,1
0.12167,1
0.12838,1
0.12289,1
0.12259,1
0.11267,1
0.13786,1
0.12239,1
0.12121,1
0.11453,1
0.11033,1
0.1025,1
0.10114,1
0.088199,1
0.099594,1
0.08674,1
0.070556,1
0.060864,1
0.0357,1
0.032542,1
0.012945,1
0.01853,1
0.017347,1
0.02206,1
0.013994,1
0.017349,1
0.014303,1
0.022836,1
0.017481,1
0.027325,1
0.030753,1
0.012566,1
0.014635,1
0.011583,1
0.010285,1
0.011345,1
0.014957,1
0.0164,0
0.01176,0
0.009864,0
0.006586,0
0.003565,0
0.003083,0
0.004973,0
0.002363,0
0.002173,0
0.003222,0
0.002807,0
0.002133,0
0.001958,0
0.002365,0
0.002079,0
0.001678,0
0.002072,0
0.002619,0
0.002033,0
0.002198,0
0.002082,0
0.001643,0
0.001904,0
0.001535,0
0.001767,0
0.001885,0
0.001418,0
0.001272,0
0.001234,0
0.001563,0
0.001263,0
0.001201,0
0.001441,0
0.000975,0
0.001341,0
0.001036,0
0.001232,0
0.001226,0
0.001204,0
0.00191,0
0.001506,0
0.002659,0
0.002782,0
0.002351,0
0.002384,0
0.002397,0
0.00258,0
0.002477,0
0.003039,0
0.004432,0
0.004329,0
0.002582,0
0.002353,0
0.002297,0
0.003185,0
0.001415,0
0.001213,0
0.001019,0
0.001565,0
0.001142,0
0.000948,0
0.000745,0
0.001314,0
0.002442,0
0.002252,0
0.001884,0
0.001137,0
0.001497,0
0.002401,0
0.00164,0
0.001369,0
0.001959,0
0.001833,0
0.00103,0
0.001438,0
0.001074,0
0.001028,0
0.000755,0
0.000711,0
0.001363,0
0.001166,0
0.001372,0
0.001007,0
0.00119,0
0.001349,0
0.000941,0
0.00073,0
0.001598,0
0.001012,0
0.001027,0
0.000827,0
0.000869,0
0.002576,0
0.002667,0
0.002965,0
0.002001,0
0.002262,0
0.002014,0
0.000971,0
0.00191,0
0.00243,0
0.001323,0
0.001308,0
0.00107,0
0.000663,0
0.000933,0
0.001046,0
0.001433,0
0.001825,0
0.002098,0
0.002011,0
0.001263,0
0.001267,0
0.001597,0
0.002084,0
0.001358,0
0.001552,0
0.00129,0
0.001305,0
0.004705,0
0.003722,0
0.003968,0
0.003573,0
0.002724,0
0.002648,0
0.001716,0
0.003616,0
0.004615,0
0.00398,0
0.002926,0
