@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-4'

@attribute cepstralMostDominantPeak_min numeric
@attribute class {0,1}

@data
0,0
0.001875,0
0.000095,0
0.006147,0
0.004801,1
0.010119,1
0.020371,1
0.037415,1
0.096744,1
0.10743,1
0.10573,1
0.13066,1
0.17721,1
0.15962,1
0.16525,1
0.15358,1
0.15277,1
0.1871,1
0.15805,1
0.19345,1
0.16755,1
0.18081,1
0.17375,1
0.1515,1
0.13849,1
0.14349,1
0.15738,1
0.13531,1
0.16358,1
0.16034,1
0.13342,1
0.13179,1
0.15077,1
0.14434,1
0.12799,1
0.13674,1
0.13419,1
0.13444,1
0.14651,1
0.14157,1
0.14282,1
0.14198,1
0.14211,1
0.15069,1
0.17295,1
0.14604,1
0.1532,1
0.12622,1
0.10845,1
0.086025,1
0.091299,1
0.094761,1
0.076718,1
0.067838,1
0.057679,1
0.049062,1
0.036643,1
0.020655,1
0.014084,1
0.008444,1
0.003902,1
0.006042,0
0.005743,0
0.001001,0
0,0
0.003396,0
0.003561,0
0.004122,0
0.006813,0
0.010613,0
0.011031,0
0.009215,0
0.00794,0
0.007625,0
0.007252,0
0.010882,0
0.012858,0
0.007501,0
0.004451,0
0.001757,0
0.000171,0
0,0
0,0
0,0
0.0014,0
0.003373,0
0.005717,1
0.028613,1
0.088321,1
0.085425,1
0.098501,1
0.12843,1
0.12993,1
0.12152,1
0.12694,1
0.13645,1
0.11148,1
0.12781,1
0.12199,1
0.13065,1
0.13231,1
0.12021,1
0.13762,1
0.12747,1
0.12925,1
0.13359,1
0.14381,1
0.13185,1
0.11334,1
0.12483,1
0.12884,1
0.12366,1
0.12435,1
0.11583,1
0.11084,1
0.12102,1
0.13122,1
0.13111,1
0.14449,1
0.12506,1
0.13165,1
0.13602,1
0.13095,1
0.1269,1
0.12279,1
0.11582,1
0.12124,1
0.14348,1
0.12616,1
0.13383,1
0.12927,1
0.13855,1
0.13467,1
0.12039,1
0.12783,1
0.12172,1
0.13242,1
0.14373,1
0.13957,1
0.1491,1
0.1472,1
0.13487,1
0.14432,1
0.14523,1
0.14486,1
0.15127,1
0.1585,1
0.15511,1
0.13688,1
0.099715,1
0.1529,1
0.15513,1
0.14204,1
0.13994,1
0.12113,1
0.11535,1
0.10576,1
0.12517,1
0.10667,1
0.10973,1
0.11726,1
0.12066,1
0.11894,1
0.12185,1
0.12,1
0.12671,1
0.12122,1
0.12092,1
0.111,1
0.13619,1
0.12072,1
0.11954,1
0.11286,1
0.10866,1
0.10083,1
0.099471,1
0.08653,1
0.097925,1
0.085071,1
0.068886,1
0.059194,1
0.034031,1
0.030872,1
0.011275,1
0.016861,1
0.015678,1
0.020391,1
0.012325,1
0.01568,1
0.012633,1
0.021167,1
0.015811,1
0.025655,1
0.029084,1
0.010897,1
0.012965,1
0.009913,1
0.008616,1
0.009675,1
0.013287,1
0.01473,0
0.01009,0
0.008195,0
0.004916,0
0.001895,0
0.001414,0
0.003303,0
0.000694,0
0.000503,0
0.001553,0
0.001137,0
0.000463,0
0.000288,0
0.000696,0
0.00041,0
0.000008,0
0.000403,0
0.000949,0
0.000364,0
0.000529,0
0.000412,0
0,0
0.000261,0
0,0
0.000232,0
0.000349,0
0,0
0,0
0,0
0.000329,0
0.000028,0
0,0
0.000241,0
0,0
0.000366,0
0.000061,0
0.000257,0
0.000251,0
0.000229,0
0.000935,0
0.000531,0
0.001684,0
0.001808,0
0.001376,0
0.001409,0
0.001422,0
0.001605,0
0.001503,0
0.002064,0
0.003457,0
0.003354,0
0.001608,0
0.001378,0
0.001322,0
0.00221,0
0.00044,0
0.000238,0
0.000044,0
0.000591,0
0.000167,0
0,0
0,0
0.00057,0
0.001698,0
0.001507,0
0.00114,0
0.000392,0
0.000753,0
0.001657,0
0.000895,0
0.000625,0
0.001214,0
0.001089,0
0.000286,0
0.000694,0
0.000329,0
0.000283,0
0.000011,0
0,0
0.000653,0
0.000456,0
0.000661,0
0.000297,0
0.000479,0
0.000639,0
0.00023,0
0.00002,0
0.000887,0
0.000301,0
0.000316,0
0.000117,0
0.000158,0
0.001866,0
0.001956,0
0.002254,0
0.00129,0
0.001551,0
0.001304,0
0.000261,0
0.0012,0
0.001719,0
0.000613,0
0.000598,0
0.00036,0
0,0
0.00027,0
0.000383,0
0.000771,0
0.001162,0
0.001435,0
0.001349,0
0.0006,0
0.000604,0
0.000934,0
0.001421,0
0.000695,0
0.000889,0
0.000627,0
0.000642,0
0.004042,0
0.003059,0
0.003306,0
0.00291,0
0.002061,0
0.001985,0
0.001054,0
0.002953,0
0.003952,0
0.003317,0
0.002263,0
0.003245,0
0.004587,0
0.00381,0
0.002174,0
0.002884,0
0.001687,0
0.001786,0
0.003249,0
0.006142,0
0.007072,0
0.009035,0
0.011252,0
0.009039,0
0.010066,0
0.011834,0
0.011697,0
0.009646,0
0.011153,0
0.008706,0
0.007358,0
0.004921,0
0.003569,0
0.003115,0
0.00379,0
0.002391,0
0.002324,0
0.003814,0
0.009831,0
0.013313,0
0.011763,0
0.011418,0
0.014504,0
0.017469,0
0.016936,0
0.010906,0
0.007517,0
0.004607,0
0.003649,0
0.001432,0
0.001637,0
0.002715,0
0.001892,0
0.016982,1
0.031662,1
0.0599,1
0.042487,1
