@relation featureMatrix

@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0,4,0
0,5,0
0.087094,3,0
0,4,0
0,5,1
0,4,1
0.3033,3,1
0.5794,3,1
0.5794,6,1
0.3292,6,1
0.20695,6,1
0.34976,6,1
0.46352,6,1
0.33259,6,1
0.51972,6,1
0.28466,6,1
0.46935,6,1
0.60418,6,1
0.84527,6,1
0.91881,7,1
0.90914,8,1
0.87089,8,1
1.0615,7,1
1.1108,7,1
1.1241,7,1
1.1278,6,1
1.1548,7,1
1.222,2,1
1.2864,2,1
1.2856,2,1
1.3222,2,1
1.2685,2,1
1.2051,2,1
1.1637,2,1
1.1102,2,1
1.139,2,1
1.0972,2,1
1.0363,2,1
0.94368,2,1
1.1059,2,1
1.3178,2,1
1.2702,2,1
1.3457,2,1
1.2107,2,1
1.1172,2,1
1.2653,2,1
1.2894,2,1
1.3327,2,1
1.3517,2,1
1.3318,2,1
1.2666,2,1
1.368,2,1
1.3454,2,1
1.3546,2,1
1.1814,2,1
1.3543,2,1
1.0558,2,1
0.39683,3,1
0.02906,4,1
0.2002,1,1
0.22604,5,1
0,8,0
0.2562,1,0
0.61013,1,0
0.68248,1,0
0.24487,1,0
0.3473,2,0
1.081,2,0
1.1728,2,0
1.2173,2,0
1.2295,2,0
1.3048,2,0
1.2679,2,0
1.2224,2,0
1.2375,2,0
0.89904,2,0
0.96474,2,0
0.91406,2,0
0.72301,2,0
0.99953,2,0
0.93303,1,0
0.7472,2,0
1.0364,2,0
0.87988,2,0
0.95756,2,0
0.57346,2,0
0.50713,4,1
0.67994,2,1
1.04,2,1
1.3031,2,1
1.3541,2,1
1.326,2,1
1.3768,2,1
1.0894,2,1
1.1116,3,1
1.2252,2,1
1.2508,2,1
1.2317,3,1
1.4168,2,1
1.2754,3,1
1.3066,6,1
1.3253,3,1
1.3841,2,1
1.3642,2,1
1.3655,2,1
1.3443,2,1
1.273,2,1
1.3384,2,1
1.0944,2,1
1.0942,2,1
1.2596,2,1
1.1463,6,1
1.1308,11,1
1.0873,13,1
1.1254,14,1
1.1723,11,1
1.3186,9,1
1.1826,9,1
1.3234,2,1
1.2847,2,1
1.043,3,1
0.95886,6,1
1.0276,7,1
1.271,3,1
1.3378,2,1
1.4084,2,1
1.3373,3,1
1.3385,5,1
1.3263,4,1
1.2425,9,1
0.99544,6,1
0.80759,5,1
0.86295,5,1
0.86797,5,1
0.82137,5,1
0.66038,6,1
0.6753,4,1
0.75858,5,1
0.87033,5,1
1.0054,4,1
0.83606,5,1
0.91507,8,1
1.1464,8,1
1.2984,8,1
1.3307,8,1
1.2918,8,1
1.3091,9,1
1.3346,8,1
1.4878,2,1
1.5078,2,1
1.45,9,1
1.4719,2,1
1.5606,2,1
1.559,2,1
1.492,2,1
1.4498,2,1
