@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0,4.6796,0,0,4,0
0,4.9382,0,0,5,0
9.3537,4.9371,882.86,0.087094,3,0
0,5.0939,21.533,0,4,0
0,5.0679,646,0,5,1
190.41,4.9051,538.33,0,4,1
961.64,4.8266,344.53,0.3033,3,1
1687.1,4.8239,301.46,0.5794,3,1
1570.2,4.7914,1119.7,0.5794,6,1
1810.6,4.8627,1119.7,0.3292,6,1
2538.5,4.9133,193.8,0.20695,6,1
2935.4,4.9451,172.27,0.34976,6,1
3399.7,4.8651,301.46,0.46352,6,1
3820.8,4.8772,301.46,0.33259,6,1
3609.9,4.964,301.46,0.51972,6,1
3880.5,5.1348,323,0.28466,6,1
3937.7,4.9725,387.6,0.46935,6,1
4244.7,5.0212,366.06,0.60418,6,1
4841.1,4.9261,366.06,0.84527,6,1
4139,4.9954,387.6,0.91881,7,1
4449.2,4.7032,366.06,0.90914,8,1
3900.6,4.8149,366.06,0.87089,8,1
3122.3,4.8135,323,1.0615,7,1
2617.1,4.7859,323,1.1108,7,1
2627.6,4.7373,323,1.1241,7,1
2668.6,4.6844,323,1.1278,6,1
2910,4.7754,323,1.1548,7,1
2401.9,4.8191,323,1.222,2,1
2715.8,4.6976,344.53,1.2864,2,1
2714,4.6158,344.53,1.2856,2,1
2760.2,4.6229,344.53,1.3222,2,1
3303.1,4.6717,344.53,1.2685,2,1
3187.7,4.7508,366.06,1.2051,2,1
2995.6,4.6575,344.53,1.1637,2,1
2896.4,4.7433,366.06,1.1102,2,1
3166.1,4.6752,366.06,1.139,2,1
3502,4.7114,366.06,1.0972,2,1
4065.3,4.7048,366.06,1.0363,2,1
4396.3,4.7507,366.06,0.94368,2,1
4097.2,4.712,366.06,1.1059,2,1
4081.5,4.4253,366.06,1.3178,2,1
3788.1,4.5569,366.06,1.2702,2,1
3836.4,4.4638,366.06,1.3457,2,1
3705.2,4.5998,366.06,1.2107,2,1
3395.6,4.7,366.06,1.1172,2,1
3742.9,4.5498,366.06,1.2653,2,1
3641.3,4.4958,366.06,1.2894,2,1
3309.6,4.3497,366.06,1.3327,2,1
3216.5,4.2669,366.06,1.3517,2,1
3249.7,4.1788,366.06,1.3318,2,1
3528.3,4.2025,366.06,1.2666,2,1
3582.3,3.9949,387.6,1.368,2,1
2720.5,4.0479,387.6,1.3454,2,1
2284.9,4.1294,387.6,1.3546,2,1
1328.1,4.2659,387.6,1.1814,2,1
1451.5,4.3609,366.06,1.3543,2,1
488.08,5.014,301.46,1.0558,2,1
318.76,5.2233,323,0.39683,3,1
295.84,5.1267,0,0.02906,4,1
361.25,4.8879,172.27,0.2002,1,1
192.53,4.8316,193.8,0.22604,5,1
115.15,4.8061,86.133,0,8,0
41.352,4.8271,0,0.2562,1,0
145.98,4.5488,279.93,0.61013,1,0
248.63,4.4704,279.93,0.68248,1,0
15.035,4.8067,0,0.24487,1,0
352.63,4.5051,193.8,0.3473,2,0
1111.7,4.1814,387.6,1.081,2,0
1777.1,3.985,387.6,1.1728,2,0
2514.9,4.0556,387.6,1.2173,2,0
2643.8,4.1077,409.13,1.2295,2,0
2804.4,4.067,409.13,1.3048,2,0
2967.1,4.0665,409.13,1.2679,2,0
3109.3,4.1111,387.6,1.2224,2,0
3150.7,4.1539,387.6,1.2375,2,0
1954.3,4.4357,387.6,0.89904,2,0
2110.2,4.3797,366.06,0.96474,2,0
2538.1,4.3152,366.06,0.91406,2,0
1543.6,4.4477,86.133,0.72301,2,0
2035.1,4.2209,279.93,0.99953,2,0
2097.7,4.3532,258.4,0.93303,1,0
1644.5,4.1514,366.06,0.7472,2,0
821.61,4.4716,344.53,1.0364,2,0
573.89,4.5391,387.6,0.87988,2,0
703.03,4.6188,387.6,0.95756,2,0
401.43,4.8599,279.93,0.57346,2,0
323.16,4.9818,236.87,0.50713,4,1
893.88,4.881,409.13,0.67994,2,1
951.99,4.8641,344.53,1.04,2,1
1762,4.851,344.53,1.3031,2,1
2009.4,4.8055,344.53,1.3541,2,1
1826.9,4.782,344.53,1.326,2,1
2606.1,4.7769,366.06,1.3768,2,1
2842,4.8614,366.06,1.0894,2,1
2950.9,4.7582,366.06,1.1116,3,1
2569.9,4.7679,366.06,1.2252,2,1
2145.1,4.8139,366.06,1.2508,2,1
2003.2,4.8205,366.06,1.2317,3,1
2620.4,4.7392,344.53,1.4168,2,1
2316,4.9073,366.06,1.2754,3,1
2158.3,4.8942,366.06,1.3066,6,1
2469.6,4.7913,344.53,1.3253,3,1
2602.7,4.7683,344.53,1.3841,2,1
1937.3,4.8212,366.06,1.3642,2,1
2500.1,4.6737,366.06,1.3655,2,1
2659.6,4.7117,344.53,1.3443,2,1
2307,4.6955,344.53,1.273,2,1
2680.6,4.7943,344.53,1.3384,2,1
2517.8,4.8949,344.53,1.0944,2,1
2402.9,4.7714,323,1.0942,2,1
2078.2,4.7499,323,1.2596,2,1
1940.2,4.859,323,1.1463,6,1
1380.7,5.0201,323,1.1308,11,1
1249.7,4.9619,323,1.0873,13,1
1540.7,4.8698,323,1.1254,14,1
1354.7,4.8843,323,1.1723,11,1
1654.8,4.8885,323,1.3186,9,1
1533.1,4.9044,323,1.1826,9,1
1712,4.8087,323,1.3234,2,1
1889.1,4.8085,344.53,1.2847,2,1
1985,4.7974,323,1.043,3,1
2225.3,4.817,323,0.95886,6,1
1783.3,4.9215,323,1.0276,7,1
1708.9,4.7409,344.53,1.271,3,1
1600.2,4.7664,344.53,1.3378,2,1
1765.2,4.7766,344.53,1.4084,2,1
1859.5,4.7675,344.53,1.3373,3,1
2014.4,4.7671,344.53,1.3385,5,1
1983.9,4.7454,344.53,1.3263,4,1
1808.1,4.8963,323,1.2425,9,1
1650.8,4.9031,323,0.99544,6,1
1723,4.9313,323,0.80759,5,1
1555.9,4.8602,323,0.86295,5,1
1638.8,4.913,323,0.86797,5,1
1638.2,4.916,323,0.82137,5,1
1719,4.9579,301.46,0.66038,6,1
1832.6,4.9041,323,0.6753,4,1
1596.1,4.9254,323,0.75858,5,1
1884.2,4.8022,301.46,0.87033,5,1
1727.9,4.714,323,1.0054,4,1
1424.1,4.9202,323,0.83606,5,1
1769.3,4.8525,323,0.91507,8,1
1619.8,4.6931,323,1.1464,8,1
1580.6,4.6388,323,1.2984,8,1
1549.3,4.548,323,1.3307,8,1
1635.7,4.52,323,1.2918,8,1
1828,4.5151,344.53,1.3091,9,1
1978.1,4.6219,344.53,1.3346,8,1
2229.2,4.4961,344.53,1.4878,2,1
2268.7,4.6616,344.53,1.5078,2,1
1972.9,4.4077,344.53,1.45,9,1
2226.3,4.4681,344.53,1.4719,2,1
2073.7,4.3517,344.53,1.5606,2,1
2157.3,4.3226,344.53,1.559,2,1
2193,4.4203,366.06,1.492,2,1
2308,4.4337,366.06,1.4498,2,1
2492.3,4.4375,366.06,1.4561,2,1
2699.1,4.4177,366.06,1.4314,2,1
2746,4.5918,366.06,1.4248,2,1
2319.3,4.6309,366.06,1.2699,2,1
2684.3,4.62,366.06,1.3291,2,1
2654.2,4.6345,366.06,1.3234,2,1
2714.1,4.6689,366.06,1.2797,2,1
2892.7,4.6196,344.53,1.3644,2,1
2970.1,4.5457,344.53,1.4223,2,1
2600.7,4.6169,344.53,1.3827,2,1
2534.3,4.5855,344.53,1.3862,2,1
2436.6,4.6408,344.53,1.187,2,1
3919.1,4.9343,323,0.6907,2,1
5924.5,4.8411,344.53,0.42947,3,1
4632.8,4.8481,323,0.80114,2,1
8057.8,4.821,323,0.8509,2,1
7327.9,4.8637,129.2,0.23506,4,1
7570,4.7009,301.46,0.20669,4,1
6760.7,4.6821,129.2,0.066843,2,1
6186.1,4.6904,129.2,0.44269,1,1
5850.3,4.6031,172.27,0.36073,3,1
4648.1,4.7373,602.93,0.30773,3,1
4824.4,4.616,301.46,0.53882,2,1
3980.4,4.4982,301.46,0.73777,2,1
3633.3,5.012,0,0.19722,5,1
3833.7,5.0898,0,0.20568,8,1
2131.9,4.9735,0,0.16379,5,1
2423,4.7737,0,0.066819,5,1
2022.5,4.674,21.533,0.095208,1,1
1503.9,4.8352,21.533,0.044678,6,1
1559.6,4.6311,193.8,0.10082,5,1
1730.3,4.6244,624.46,0.29633,3,1
2106.2,4.7526,21.533,0.054919,3,1
2166.9,5.1618,21.533,0.22642,8,1
3928,5.3954,258.4,0.29729,10,1
2597.8,5.2084,279.93,0.45103,3,1
2413.1,5.0989,258.4,0.58176,2,1
1986.8,4.9352,258.4,0.80597,1,1
1804.8,4.9115,258.4,0.81149,1,1
923.3,5.0569,279.93,0.43306,6,1
416.55,5.2012,559.86,0.14005,8,1
906.18,4.9446,193.8,0.21305,6,1
454.22,4.91,21.533,0.12199,4,1
462.72,4.9182,172.27,0.12125,4,1
343.51,4.9199,172.27,0.27964,2,0
150.94,5.0332,279.93,0.20227,5,0
78.903,4.98,193.8,0.04184,6,0
55.293,4.971,172.27,0.25729,5,0
107.45,4.8658,193.8,0.21058,3,0
15.192,4.8316,193.8,0.24176,2,0
0,4.8482,172.27,0.067577,2,0
0,4.9448,172.27,0.15018,4,0
0,4.9856,495.26,0.14789,4,0
15.714,4.9162,172.27,0.24394,4,0
0,5.1063,43.066,0.11962,5,0
0,5.1439,21.533,0.073696,5,0
62.588,5.0406,473.73,0.3214,2,0
89.512,4.9987,215.33,0.19725,3,0
26.041,5.1502,172.27,0.21668,5,0
34.301,5.0889,301.46,0.074544,5,0
78.635,5.0291,64.6,0.18774,6,0
32.202,5.1089,193.8,0.081689,6,0
7.4967,5.2044,409.13,0.10859,7,0
131.15,5.1532,64.6,0.072301,6,0
80.446,5.1125,64.6,0.030709,5,0
150.39,5.0154,86.133,0.12111,6,0
111.91,5.0236,323,0.29974,3,0
131.63,5.0065,301.46,0.1022,4,0
108.38,4.9514,323,0.27256,4,0
85.89,4.9948,495.26,0.19924,5,0
79.522,5.1967,301.46,0.13978,7,0
80.272,5.2008,150.73,0.16482,6,0
147.65,5.1494,301.46,0.39361,2,0
176.63,5.0336,323,0.64821,1,0
208.56,5.0861,129.2,0.15464,3,0
222.81,5.2147,150.73,0.1756,2,0
439.67,5.1927,323,0.30494,1,0
342.29,5.1976,150.73,0.32816,3,0
552.3,5.0325,689.06,0.67689,3,0
502.07,5.1095,710.6,0.7639,3,0
416.8,5.1777,344.53,0.61913,4,0
223.86,5.3256,689.06,0.37783,3,0
273.71,5.2105,689.06,0.31709,4,0
195.78,5.312,323,0.26551,7,0
368.45,5.1153,689.06,0.50959,3,0
555.42,5.1546,344.53,0.33756,4,0
632.39,5.0311,323,0.61674,3,0
458.93,5.0551,689.06,0.66235,3,0
683.86,4.9815,689.06,0.57294,3,0
603.84,5.0191,452.2,0.20479,3,0
658.48,5.0032,129.2,0.16664,2,0
1047.4,4.9518,323,0.2297,3,0
859.5,5.0227,129.2,0.31907,3,0
716.32,4.9427,710.6,0.639,3,0
705.99,4.9075,710.6,0.76178,3,0
830.53,4.9974,732.13,0.68938,2,0
820.96,4.9871,301.46,0.49439,2,0
746.8,4.8388,732.13,0.58455,2,0
843.01,4.8842,732.13,0.70963,3,0
973.16,5.0882,150.73,0.16045,5,0
1005.8,5.0033,323,0.18341,5,0
619.92,5.01,732.13,0.32753,2,0
819.07,4.9879,323,0.17814,6,0
760.7,4.8705,775.2,0.29467,4,0
1124.6,4.6981,323,0.75656,2,0
1191.1,4.6074,387.6,0.83001,2,0
1736.7,4.5141,430.66,0.75845,2,0
2844.1,4.2385,430.66,0.96541,2,0
2982.6,4.1913,430.66,1.0536,2,0
2540.4,4.4661,430.66,0.91083,2,0
1216.8,4.6942,107.67,0.28259,3,0
1087.2,4.6248,409.13,0.25066,2,0
1114.4,4.7179,430.66,0.46251,3,0
1186.8,5.2107,258.4,0.34523,3,0
878.85,4.9153,323,0.2799,3,0
858.84,4.9254,452.2,0.34666,3,0
604.98,4.9879,387.6,0.52693,2,0
979.99,4.7639,366.06,0.41331,3,0
989.62,4.9681,387.6,0.51222,2,0
1415.2,5.0885,366.06,1.044,2,0
1100.8,4.9661,387.6,0.85791,2,0
656.37,5.0641,387.6,0.23724,3,0
759.42,5.0229,387.6,0.26035,3,0
991.35,4.9023,602.93,0.27988,3,0
1110,4.9286,387.6,0.35625,3,0
807.62,5.0371,172.27,0.24018,4,0
1288.2,4.9781,366.06,0.60187,4,0
1503.1,4.9878,366.06,0.65377,4,0
1154.7,4.994,968.99,0.48188,4,0
745.01,5.1278,947.46,0.71111,4,0
1272.7,5.1167,344.53,0.48293,3,0
1263.3,4.953,344.53,0.72799,3,0
765.47,5.1082,323,0.57121,3,0
752.67,5.0654,624.46,0.363,3,0
610.77,5.1063,129.2,0.11195,5,0
459.15,5.1691,301.46,0.10316,5,0
344.01,5.268,452.2,0.1333,8,0
463.64,5.1724,301.46,0.28063,3,0
586.39,5.1772,667.53,0.32358,4,0
771.19,5.0532,624.46,0.5089,3,0
784.87,4.9819,323,0.37722,2,0
616.27,5.1328,193.8,0.19469,5,0
1154.1,5.273,129.2,0.1629,8,0
663.81,5.122,150.73,0.29623,5,0
626.13,5.1282,323,0.30893,4,0
480.54,5.124,43.066,0.1199,8,0
297.05,5.2217,21.533,0,6,0
306,5.0902,21.533,0.34045,3,0
412.23,4.7896,301.46,0.61818,1,0
325.28,4.9372,323,0.49736,1,0
181.79,5.0622,43.066,0.27266,1,0
209.59,5.2119,279.93,0.18104,5,0
209.91,5.2096,43.066,0.24746,7,0
170.91,5.1557,43.066,0.24219,6,0
127.79,5.22,732.13,0.26895,6,0
119.11,5.2407,129.2,0.10019,8,0
93.388,5.2601,43.066,0.07126,6,0
117.9,5.1672,323,0.30243,5,0
204.13,5.2336,64.6,0.02997,8,0
161.16,5.2153,21.533,0.083463,4,0
250.84,5.0073,21.533,0.33972,3,0
455.44,4.9598,839.79,0.81234,3,0
477.87,4.955,839.79,0.65855,3,0
340.98,5.1114,64.6,0.33054,3,0
413.23,4.9827,366.06,0.47518,2,0
412.99,5.0454,366.06,0.41718,2,0
242.48,5.1545,344.53,0.34521,3,0
344.74,5.2102,21.533,0.055881,3,0
169.52,5.2794,21.533,0.041297,4,0
271.76,5.2777,366.06,0.37129,4,0
154.73,5.3159,602.93,0.17442,6,0
169.81,5.1286,624.46,0.22086,5,0
123.91,5.2018,344.53,0.15084,4,0
58.649,5.2612,366.06,0.29908,6,0
202.98,5.0345,236.87,0.419,3,0
364.29,5.1535,258.4,0.39381,5,0
435.81,5.0408,43.066,0.069132,5,0
395.06,5.0712,193.8,0.20102,4,0
339.73,5.0858,323,0.22466,4,0
252.62,5.1242,43.066,0.15578,4,0
230.47,5.135,387.6,0.2558,6,0
259.29,5.1538,581.4,0.18349,5,0
411.91,5.0925,538.33,0.10445,6,0
311.11,5.122,21.533,0.11049,6,0
294.92,5.1434,172.27,0.18934,6,0
219.57,5.2044,602.93,0.20364,6,0
291.61,5.1042,409.13,0.27716,4,0
317.73,5.1031,301.46,0.11731,7,0
394.53,5.127,366.06,0.22966,6,0
296.34,5.1713,387.6,0.22559,7,0
275.16,5.2049,301.46,0.27965,5,0
215.49,5.2107,344.53,0.19465,5,0
257.17,5.1427,624.46,0.22508,6,0
141.97,5.1663,366.06,0.24171,6,0
325.53,5.2943,64.6,0.29898,6,0
374.83,5.3401,1658.1,0.29429,6,0
411.9,5.1458,366.06,0.49564,4,0
