@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0,4.6796,0,0
0,4.9382,0,0
9.3537,4.9371,882.86,0
0,5.0939,21.533,0
0,5.0679,646,1
190.41,4.9051,538.33,1
961.64,4.8266,344.53,1
1687.1,4.8239,301.46,1
1570.2,4.7914,1119.7,1
1810.6,4.8627,1119.7,1
2538.5,4.9133,193.8,1
2935.4,4.9451,172.27,1
3399.7,4.8651,301.46,1
3820.8,4.8772,301.46,1
3609.9,4.964,301.46,1
3880.5,5.1348,323,1
3937.7,4.9725,387.6,1
4244.7,5.0212,366.06,1
4841.1,4.9261,366.06,1
4139,4.9954,387.6,1
4449.2,4.7032,366.06,1
3900.6,4.8149,366.06,1
3122.3,4.8135,323,1
2617.1,4.7859,323,1
2627.6,4.7373,323,1
2668.6,4.6844,323,1
2910,4.7754,323,1
2401.9,4.8191,323,1
2715.8,4.6976,344.53,1
2714,4.6158,344.53,1
2760.2,4.6229,344.53,1
3303.1,4.6717,344.53,1
3187.7,4.7508,366.06,1
2995.6,4.6575,344.53,1
2896.4,4.7433,366.06,1
3166.1,4.6752,366.06,1
3502,4.7114,366.06,1
4065.3,4.7048,366.06,1
4396.3,4.7507,366.06,1
4097.2,4.712,366.06,1
4081.5,4.4253,366.06,1
3788.1,4.5569,366.06,1
3836.4,4.4638,366.06,1
3705.2,4.5998,366.06,1
3395.6,4.7,366.06,1
3742.9,4.5498,366.06,1
3641.3,4.4958,366.06,1
3309.6,4.3497,366.06,1
3216.5,4.2669,366.06,1
3249.7,4.1788,366.06,1
3528.3,4.2025,366.06,1
3582.3,3.9949,387.6,1
2720.5,4.0479,387.6,1
2284.9,4.1294,387.6,1
1328.1,4.2659,387.6,1
1451.5,4.3609,366.06,1
488.08,5.014,301.46,1
318.76,5.2233,323,1
295.84,5.1267,0,1
361.25,4.8879,172.27,1
192.53,4.8316,193.8,1
115.15,4.8061,86.133,0
41.352,4.8271,0,0
145.98,4.5488,279.93,0
248.63,4.4704,279.93,0
15.035,4.8067,0,0
352.63,4.5051,193.8,0
1111.7,4.1814,387.6,0
1777.1,3.985,387.6,0
2514.9,4.0556,387.6,0
2643.8,4.1077,409.13,0
2804.4,4.067,409.13,0
2967.1,4.0665,409.13,0
3109.3,4.1111,387.6,0
3150.7,4.1539,387.6,0
1954.3,4.4357,387.6,0
2110.2,4.3797,366.06,0
2538.1,4.3152,366.06,0
1543.6,4.4477,86.133,0
2035.1,4.2209,279.93,0
2097.7,4.3532,258.4,0
1644.5,4.1514,366.06,0
