@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0,0.051724,0,121,0
0,0.053539,0,68,0
0,0.049909,0,125,0
0,0.055354,0,14,0
0,0.057169,0.0010544,20,1
0.017416,0.049002,0,141,1
0.069928,0.049909,0.0062123,59,1
0.098676,0.050817,0.026271,55,1
0.10764,0.053539,0.055818,54,1
0.12896,0.054446,0.059972,53,1
0.14359,0.050817,0.047864,50,1
0.1811,0.054446,0.053873,48,1
0.24109,0.049002,0.063613,47,1
0.24233,0.052632,0.081731,47,1
0.22276,0.058984,0.082239,49,1
0.23247,0.051724,0.069206,47,1
0.23216,0.058076,0.070065,45,1
0.22902,0.071688,0.094013,47,1
0.24786,0.067151,0.08368,45,1
0.29579,0.051724,0.12034,43,1
0.27381,0.064428,0.094194,42,1
0.24098,0.066243,0.11974,42,1
0.21888,0.067151,0.11839,43,1
0.18041,0.084392,0.10408,44,1
0.19298,0.084392,0.096838,44,1
0.17958,0.087114,0.090543,45,1
0.19081,0.07804,0.10707,44,1
0.21111,0.060799,0.091437,42,1
0.21662,0.055354,0.11862,41,1
0.22823,0.051724,0.10041,40,1
0.25135,0.044465,0.09765,39,1
0.26583,0.03902,0.076876,39,1
0.25026,0.047187,0.096795,130,1
0.23098,0.053539,0.11239,38,1
0.22561,0.053539,0.090908,38,1
0.24107,0.051724,0.098801,37,1
0.26739,0.049002,0.088712,37,1
0.2867,0.046279,0.088665,37,1
0.29544,0.051724,0.071911,36,1
0.32124,0.047187,0.078853,124,1
0.35708,0.029946,0.093842,35,1
0.3491,0.026316,0.092816,35,1
0.32552,0.037205,0.10319,35,1
0.30332,0.054446,0.1082,36,1
0.27845,0.057169,0.12174,36,1
0.30493,0.048094,0.093928,36,1
0.32434,0.039927,0.089102,36,1
0.3155,0.03176,0.087008,36,1
0.32043,0.028131,0.06976,37,1
0.3317,0.025408,0.055092,37,1
0.35606,0.024501,0.044392,34,1
0.37466,0.025408,0.048557,32,1
0.32788,0.023593,0.056483,30,1
0.24887,0.022686,0.042508,31,1
0.20128,0.022686,0.025143,30,1
0.1499,0.023593,0.01763,39,1
0.084225,0.036298,0.013952,47,1
0.038312,0.044465,0.0058864,146,1
0.029936,0.037205,0.0015493,28,1
0.035134,0.029038,0.002173,38,1
0.030645,0.03176,0.0017216,72,1
0.013944,0.03539,0,130,0
0.012062,0.037205,0,97,0
0.021088,0.03539,0.0095548,71,0
0.026879,0.028131,0.0076124,88,0
0.02911,0.019964,0.0039073,72,0
0.052777,0.016334,0.0029353,72,0
0.10784,0.022686,0.0026206,126,0
0.19455,0.022686,0.0083277,114,0
0.2358,0.023593,0.015743,19,0
0.23815,0.022686,0.021806,15,0
0.27457,0.022686,0.011601,39,0
0.29469,0.023593,0.012505,33,0
0.2907,0.022686,0.018265,103,0
0.26528,0.023593,0.0090051,36,0
0.18946,0.027223,0.013515,38,0
0.18555,0.025408,0.011498,27,0
0.19407,0.023593,0.013301,29,0
0.16187,0.020871,0.011947,24,0
0.1932,0.023593,0.025217,46,0
0.18385,0.034483,0.012484,21,0
0.13223,0.032668,0.014709,37,0
0.10374,0.022686,0.0088632,39,0
0.057691,0.034483,0.015173,24,0
0.052328,0.040835,0.016642,22,0
0.057435,0.03176,0.015787,44,0
0.033125,0.026316,0.013553,93,1
0.062154,0.024501,0.01345,40,1
0.097469,0.034483,0.041138,42,1
0.12476,0.043557,0.052272,44,1
0.15291,0.04265,0.066101,44,1
0.17926,0.03539,0.081816,44,1
0.18665,0.03902,0.085011,42,1
0.1962,0.044465,0.077927,41,1
0.18984,0.046279,0.089247,41,1
0.18495,0.043557,0.085972,41,1
0.18341,0.043557,0.079615,41,1
0.16858,0.049909,0.086806,42,1
0.18585,0.04265,0.077969,42,1
0.18038,0.047187,0.07719,42,1
0.17014,0.052632,0.086748,42,1
0.18217,0.043557,0.080448,42,1
0.18845,0.040835,0.080868,138,1
0.18216,0.04265,0.093388,42,1
0.19665,0.039927,0.085692,136,1
0.20056,0.048094,0.087777,42,1
0.19602,0.054446,0.1072,43,1
0.20521,0.044465,0.096407,44,1
0.17923,0.04265,0.073739,46,1
0.16749,0.039927,0.080766,47,1
0.15714,0.049002,0.093574,48,1
0.13362,0.069873,0.097386,48,1
0.11824,0.07441,0.074473,49,1
0.10316,0.072595,0.076675,49,1
0.10038,0.078947,0.086163,49,1
0.11266,0.072595,0.078801,50,1
0.11015,0.065336,0.089346,49,1
0.10933,0.058984,0.10617,49,1
0.13287,0.048094,0.10409,48,1
0.14321,0.050817,0.08688,47,1
0.15135,0.058076,0.096777,48,1
0.14501,0.058076,0.10103,48,1
0.13137,0.056261,0.093758,47,1
0.12835,0.059891,0.098027,46,1
0.13557,0.051724,0.099367,45,1
0.14689,0.044465,0.098766,46,1
0.13899,0.058076,0.090984,46,1
0.1449,0.067151,0.091782,46,1
0.14849,0.07078,0.08818,146,1
0.13668,0.076225,0.08767,48,1
0.12653,0.073503,0.088008,49,1
0.11013,0.071688,0.090999,50,1
0.10859,0.062613,0.097646,51,1
0.113,0.054446,0.076222,52,1
0.11572,0.049909,0.071455,52,1
0.12198,0.060799,0.085194,51,1
0.12647,0.07078,0.085915,52,1
0.12252,0.064428,0.091546,51,1
0.11624,0.062613,0.088952,51,1
0.11704,0.056261,0.092429,51,1
0.11785,0.058076,0.087297,50,1
0.11818,0.066243,0.076733,49,1
0.12707,0.057169,0.083773,49,1
0.12548,0.053539,0.084994,48,1
0.1251,0.058076,0.090897,48,1
0.13397,0.059891,0.10579,48,1
0.14628,0.061706,0.11094,47,1
0.17363,0.057169,0.10511,45,1
0.19531,0.051724,0.10677,43,1
0.19556,0.054446,0.074559,44,1
0.18886,0.062613,0.092319,44,1
0.19662,0.059891,0.10834,43,1
0.20615,0.053539,0.097147,43,1
0.2078,0.049002,0.10175,42,1
0.21003,0.044465,0.085509,41,1
0.21445,0.034483,0.073873,41,1
0.22238,0.032668,0.085968,40,1
0.23765,0.028131,0.097142,40,1
0.22786,0.026316,0.074224,41,1
0.19998,0.036298,0.067185,42,1
0.19517,0.03902,0.076341,136,1
0.21238,0.040835,0.080447,42,1
0.22305,0.043557,0.07029,42,1
0.23544,0.03902,0.073433,43,1
0.23498,0.03176,0.071256,139,1
0.2215,0.03176,0.085551,43,1
0.21107,0.03902,0.08621,43,1
0.20086,0.036298,0.080556,45,1
0.24219,0.03902,0.044863,144,1
0.25427,0.049002,0.03689,47,1
0.31499,0.038113,0.032694,149,1
0.39598,0.030853,0.041799,48,1
0.40812,0.034483,0.048391,26,1
