@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0,5.2854,0,0
0.15759,5.2594,215.33,0
5.9154,5.3065,1205.9,0
21.998,5.4885,172.27,0
24.071,5.5117,172.27,1
0,5.2883,0,1
1160.5,4.7392,0,1
1670.4,4.759,0,1
1407.1,4.5461,0,1
1598.3,4.6393,0,1
1842.2,4.8211,21.533,1
1952.5,4.6152,21.533,1
2226.7,4.3435,21.533,1
2375.4,4.5463,43.066,1
2358.3,4.637,21.533,1
2597.1,4.7844,21.533,1
2745.6,4.518,43.066,1
2886.2,4.6711,43.066,1
3033.4,4.7898,43.066,1
3725.3,4.658,43.066,1
3422.7,4.3657,64.6,1
3511.9,4.457,64.6,1
3401.5,4.4561,43.066,1
3054.1,4.4385,43.066,1
2941.7,4.3903,43.066,1
2857.4,4.3383,43.066,1
2993.6,4.4427,43.066,1
2809.4,4.5054,43.066,1
2897,4.3734,64.6,1
2921.1,4.2427,64.6,1
3196,4.3726,64.6,1
3245.7,4.2772,64.6,1
3262.8,4.332,64.6,1
3208.2,4.3417,86.133,1
3208.3,4.4547,86.133,1
3284.9,4.394,86.133,1
3417.2,4.2068,86.133,1
3494.2,4.186,86.133,1
3596.6,4.206,86.133,1
3678.7,4.1119,86.133,1
3761.1,4.1733,86.133,1
3772.8,4.0683,86.133,1
3837.5,4.0698,86.133,1
3925.1,4.1639,86.133,1
3925.4,4.1979,86.133,1
3952.4,4.1153,86.133,1
3808,3.9727,86.133,1
3530.5,3.8876,86.133,1
3353.9,3.8163,86.133,1
3356.7,3.8153,86.133,1
3541.6,3.707,86.133,1
3855.5,3.5803,107.67,1
3259.6,3.6082,107.67,1
2710.1,3.8238,107.67,1
1808.1,3.9439,107.67,1
1567,4.0169,86.133,1
501.32,4.609,43.066,1
85.688,5.2066,0,1
7.1929,5.5821,107.67,1
9.2935,5.4706,86.133,1
13.358,5.3391,107.67,1
0,4.8904,86.133,0
10.662,5.0393,107.67,0
10.671,5.0413,64.6,0
15.07,5.2364,0,0
15.997,5.2043,0,0
23.348,5.3315,0,0
30.255,5.3726,215.33,0
36.757,5.4139,1873.4,0
23.758,5.3216,1894.9,0
0.55085,5.2756,1765.7,0
35.624,5.4947,172.27,0
35.419,5.5056,1938,0
53.087,5.5974,107.67,0
54.157,5.6045,1981.1,0
37.883,5.4481,1916.5,0
48.124,5.5428,129.2,0
48.154,5.564,150.73,0
32.178,5.4406,107.67,0
23.604,5.5286,43.066,0
10.425,5.404,172.27,0
0,5.3125,150.73,0
0,5.3636,301.46,0
1.3852,5.4497,21.533,0
23.648,5.4852,172.27,0
43.8,5.5506,409.13,0
44.562,5.4407,452.2,1
844.92,4.4832,430.66,1
1193.6,4.2961,409.13,1
1654.7,4.5453,387.6,1
1871.5,4.5873,387.6,1
1940.3,4.4656,387.6,1
2086.5,4.476,387.6,1
2266.3,4.6013,409.13,1
2243.5,4.4307,409.13,1
2310.1,4.4819,409.13,1
2296,4.4098,409.13,1
2304.9,4.4951,409.13,1
2312.3,4.4804,409.13,1
2327.7,4.422,409.13,1
2409.6,4.5704,409.13,1
2365.9,4.464,409.13,1
2298.6,4.434,387.6,1
2312.5,4.4973,409.13,1
2271.1,4.4008,409.13,1
2287.3,4.5523,387.6,1
2218.9,4.4563,387.6,1
2275.9,4.5984,387.6,1
2249.1,4.7653,387.6,1
2111.7,4.5053,366.06,1
2060.1,4.5778,366.06,1
1960.6,4.6164,366.06,1
1790.6,4.7082,366.06,1
1745.5,4.6883,366.06,1
1784.4,4.6731,366.06,1
1782.6,4.6545,366.06,1
1800.6,4.6404,366.06,1
1843.4,4.6716,366.06,1
1915.2,4.612,366.06,1
1999.4,4.5662,366.06,1
2000.3,4.5699,366.06,1
1993.5,4.5764,366.06,1
2022.3,4.5838,387.6,1
2032.8,4.472,387.6,1
2075.8,4.4937,387.6,1
2146.4,4.4884,387.6,1
2147.1,4.5165,387.6,1
2195.4,4.4116,387.6,1
2171.4,4.4455,387.6,1
2135.3,4.5813,366.06,1
1886,4.6712,366.06,1
1697.2,4.661,366.06,1
1727.5,4.5676,366.06,1
1831.2,4.5541,366.06,1
1760.3,4.512,366.06,1
1709.3,4.6393,366.06,1
1684,4.5755,366.06,1
1682,4.363,366.06,1
1673.7,4.3348,366.06,1
1724.2,4.1706,366.06,1
1785.8,4.2908,366.06,1
1794.3,4.3072,366.06,1
1786.3,4.1329,366.06,1
1882,4.1325,366.06,1
1869.7,4.0696,366.06,1
2011.3,4.1403,366.06,1
2211.1,4.0852,387.6,1
2361.6,4.2757,387.6,1
2552.9,4.3513,387.6,1
2565.8,4.5096,387.6,1
