@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0,0.10254,0,139,0
0.0005254,0.098004,0.0018745,145,0
0.0012652,0.097096,9.5349e-05,154,0
0.002677,0.12976,0.0061471,44,0
0.0029987,0.16515,0.0048007,52,1
0.042627,0.12432,0.010119,21,1
0.11798,0.054446,0.020371,126,1
0.15303,0.043557,0.037415,55,1
0.15311,0.052632,0.096744,54,1
0.16563,0.056261,0.10743,53,1
0.17419,0.059891,0.10573,51,1
0.18614,0.069873,0.13066,48,1
0.21247,0.083485,0.17721,47,1
0.21822,0.092559,0.15962,47,1
0.21259,0.092559,0.16525,49,1
0.22416,0.087114,0.15358,47,1
0.24417,0.087114,0.15277,45,1
0.24634,0.10436,0.1871,47,1
0.25649,0.10799,0.15805,46,1
0.28668,0.090744,0.19345,43,1
0.29696,0.084392,0.16755,42,1
0.29598,0.077132,0.18081,42,1
0.28746,0.076225,0.17375,43,1
0.27694,0.089837,0.1515,44,1
0.27114,0.10073,0.13849,44,1
0.26547,0.082577,0.14349,45,1
0.27311,0.068058,0.15738,44,1
0.27822,0.062613,0.13531,43,1
0.2861,0.057169,0.16358,41,1
0.31124,0.049909,0.16034,40,1
0.33114,0.029946,0.13342,39,1
0.33227,0.03176,0.13179,39,1
0.32134,0.043557,0.15077,130,1
0.31171,0.044465,0.14434,38,1
0.30846,0.047187,0.12799,38,1
0.31933,0.049909,0.13674,37,1
0.34308,0.045372,0.13419,127,1
0.3595,0.043557,0.13444,36,1
0.36974,0.044465,0.14651,36,1
0.3789,0.046279,0.14157,124,1
0.38529,0.046279,0.14282,35,1
0.39849,0.033575,0.14198,35,1
0.40678,0.024501,0.14211,35,1
0.40336,0.033575,0.15069,36,1
0.39726,0.043557,0.17295,36,1
0.4029,0.045372,0.14604,36,1
0.41399,0.039927,0.1532,37,1
0.41424,0.029946,0.12622,36,1
0.41366,0.024501,0.10845,37,1
0.42817,0.029038,0.086025,37,1
0.45851,0.029946,0.091299,34,1
0.47576,0.025408,0.094761,32,1
0.43847,0.023593,0.076718,31,1
0.35914,0.022686,0.067838,31,1
0.28869,0.022686,0.057679,34,1
0.21964,0.021779,0.049062,39,1
0.13372,0.038113,0.036643,43,1
0.056478,0.084392,0.020655,56,1
0.018861,0.11525,0.014084,54,1
0.0090308,0.096189,0.008444,38,1
0.0065509,0.062613,0.0039018,115,1
0.0065101,0.045372,0.006042,29,0
0.0044161,0.059891,0.0057425,31,0
0.00015682,0.069873,0.0010012,41,0
0,0.07804,0,29,0
0.0014276,0.072595,0.0033957,117,0
0.0015325,0.058984,0.0035609,38,0
0.0014362,0.087114,0.0041224,92,0
0.0035158,0.10708,0.0068133,21,0
0.0092364,0.098911,0.010613,15,0
0.011616,0.099819,0.011031,16,0
0.0098613,0.11343,0.0092151,15,0
0.0085003,0.13067,0.0079397,32,0
0.0058762,0.14882,0.007625,41,0
0.0044544,0.15789,0.0072515,4,0
0.004678,0.14519,0.010882,58,0
0.0041098,0.12886,0.012858,34,0
0.0023899,0.1225,0.0075008,20,0
0,0.12886,0.0044509,31,0
0,0.1216,0.0017572,60,0
0,0.094374,0.00017143,137,0
0,0.11434,0,134,0
0,0.10889,0,85,0
0.00033878,0.11343,0,43,0
0.0011657,0.12976,0.0013996,141,0
0.0042903,0.13067,0.0033731,34,0
0.022135,0.11162,0.0057173,30,1
0.11168,0.050817,0.028613,42,1
0.16744,0.032668,0.088321,42,1
0.1945,0.039927,0.085425,43,1
0.20869,0.044465,0.098501,44,1
0.21379,0.046279,0.12843,44,1
0.22045,0.046279,0.12993,42,1
0.22929,0.04265,0.12152,41,1
0.23873,0.04265,0.12694,41,1
0.24539,0.049002,0.13645,41,1
0.24844,0.052632,0.11148,41,1
0.24763,0.046279,0.12781,42,1
0.24662,0.040835,0.12199,42,1
0.24612,0.041742,0.13065,42,1
0.24966,0.04265,0.13231,42,1
0.24867,0.04265,0.12021,137,1
0.24675,0.04265,0.13762,138,1
0.24603,0.040835,0.12747,137,1
0.24227,0.047187,0.12925,136,1
0.24055,0.056261,0.13359,42,1
0.23991,0.067151,0.14381,43,1
0.23254,0.064428,0.13185,44,1
0.22341,0.060799,0.11334,46,1
0.21503,0.062613,0.12483,147,1
0.20927,0.065336,0.12884,48,1
0.19845,0.073503,0.12366,48,1
0.18318,0.071688,0.12435,49,1
0.18056,0.07078,0.11583,49,1
0.17793,0.07441,0.11084,50,1
0.18083,0.07441,0.12102,50,1
0.18503,0.072595,0.13122,49,1
0.18837,0.075318,0.13111,49,1
0.19588,0.068058,0.14449,48,1
0.20191,0.059891,0.12506,47,1
0.20131,0.059891,0.13165,48,1
0.19937,0.058984,0.13602,48,1
0.20071,0.063521,0.13095,47,1
0.2069,0.061706,0.1269,46,1
0.21275,0.054446,0.12279,45,1
0.21645,0.053539,0.11582,46,1
0.21835,0.058984,0.12124,46,1
0.22031,0.068966,0.14348,146,1
0.2173,0.072595,0.12616,146,1
0.20345,0.07441,0.13383,48,1
0.18426,0.078947,0.12927,49,1
0.17229,0.077132,0.13855,50,1
0.17555,0.083485,0.13467,51,1
0.17746,0.086207,0.12039,51,1
0.17336,0.076225,0.12783,52,1
0.17306,0.073503,0.12172,51,1
0.17447,0.064428,0.13242,52,1
0.17137,0.057169,0.14373,51,1
0.17342,0.057169,0.13957,51,1
0.17992,0.052632,0.1491,51,1
0.18298,0.046279,0.1472,50,1
0.18706,0.052632,0.13487,49,1
0.19271,0.061706,0.14432,49,1
0.19454,0.064428,0.14523,48,1
0.20246,0.056261,0.14486,48,1
0.2141,0.052632,0.15127,48,1
0.23024,0.059891,0.1585,47,1
0.24933,0.061706,0.15511,45,1
0.26158,0.057169,0.13688,43,1
0.27033,0.055354,0.099715,44,1
0.2708,0.062613,0.1529,44,1
0.26842,0.064428,0.15513,43,1
0.26818,0.064428,0.14204,43,1
0.27803,0.055354,0.13994,42,1
0.29537,0.04265,0.12113,41,1
0.30449,0.032668,0.11535,41,1
0.30781,0.023593,0.10576,133,1
0.30393,0.021779,0.12517,40,1
0.29742,0.020871,0.10667,41,1
0.29219,0.022686,0.10973,41,1
0.29564,0.028131,0.11726,136,1
0.30033,0.028131,0.12066,42,1
0.2934,0.027223,0.11894,43,1
0.28454,0.033575,0.12185,43,1
0.27155,0.04265,0.12,43,1
0.26487,0.046279,0.12671,43,1
0.26378,0.043557,0.12122,44,1
0.25317,0.041742,0.12092,45,1
0.24702,0.04265,0.111,46,1
