@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE class	{0,1}

@DATA
0,0.10254,0
0.0005254,0.098004,0
0.0012652,0.097096,0
0.002677,0.12976,0
0.0029987,0.16515,1
0.042627,0.12432,1
0.11798,0.054446,1
0.15303,0.043557,1
0.15311,0.052632,1
0.16563,0.056261,1
0.17419,0.059891,1
0.18614,0.069873,1
0.21247,0.083485,1
0.21822,0.092559,1
0.21259,0.092559,1
0.22416,0.087114,1
0.24417,0.087114,1
0.24634,0.10436,1
0.25649,0.10799,1
0.28668,0.090744,1
0.29696,0.084392,1
0.29598,0.077132,1
0.28746,0.076225,1
0.27694,0.089837,1
0.27114,0.10073,1
0.26547,0.082577,1
0.27311,0.068058,1
0.27822,0.062613,1
0.2861,0.057169,1
0.31124,0.049909,1
0.33114,0.029946,1
0.33227,0.03176,1
0.32134,0.043557,1
0.31171,0.044465,1
0.30846,0.047187,1
0.31933,0.049909,1
0.34308,0.045372,1
0.3595,0.043557,1
0.36974,0.044465,1
0.3789,0.046279,1
0.38529,0.046279,1
0.39849,0.033575,1
0.40678,0.024501,1
0.40336,0.033575,1
0.39726,0.043557,1
0.4029,0.045372,1
0.41399,0.039927,1
0.41424,0.029946,1
0.41366,0.024501,1
0.42817,0.029038,1
0.45851,0.029946,1
0.47576,0.025408,1
0.43847,0.023593,1
0.35914,0.022686,1
0.28869,0.022686,1
0.21964,0.021779,1
0.13372,0.038113,1
0.056478,0.084392,1
0.018861,0.11525,1
0.0090308,0.096189,1
0.0065509,0.062613,1
0.0065101,0.045372,0
0.0044161,0.059891,0
0.00015682,0.069873,0
0,0.07804,0
0.0014276,0.072595,0
0.0015325,0.058984,0
0.0014362,0.087114,0
0.0035158,0.10708,0
0.0092364,0.098911,0
0.011616,0.099819,0
0.0098613,0.11343,0
0.0085003,0.13067,0
0.0058762,0.14882,0
0.0044544,0.15789,0
0.004678,0.14519,0
0.0041098,0.12886,0
0.0023899,0.1225,0
0,0.12886,0
0,0.1216,0
0,0.094374,0
0,0.11434,0
0,0.10889,0
0.00033878,0.11343,0
0.0011657,0.12976,0
0.0042903,0.13067,0
0.022135,0.11162,1
0.11168,0.050817,1
0.16744,0.032668,1
0.1945,0.039927,1
0.20869,0.044465,1
0.21379,0.046279,1
0.22045,0.046279,1
0.22929,0.04265,1
0.23873,0.04265,1
0.24539,0.049002,1
0.24844,0.052632,1
0.24763,0.046279,1
0.24662,0.040835,1
0.24612,0.041742,1
0.24966,0.04265,1
0.24867,0.04265,1
0.24675,0.04265,1
0.24603,0.040835,1
0.24227,0.047187,1
0.24055,0.056261,1
0.23991,0.067151,1
0.23254,0.064428,1
0.22341,0.060799,1
0.21503,0.062613,1
0.20927,0.065336,1
0.19845,0.073503,1
0.18318,0.071688,1
0.18056,0.07078,1
0.17793,0.07441,1
0.18083,0.07441,1
0.18503,0.072595,1
0.18837,0.075318,1
0.19588,0.068058,1
0.20191,0.059891,1
0.20131,0.059891,1
0.19937,0.058984,1
0.20071,0.063521,1
0.2069,0.061706,1
0.21275,0.054446,1
0.21645,0.053539,1
0.21835,0.058984,1
0.22031,0.068966,1
0.2173,0.072595,1
0.20345,0.07441,1
0.18426,0.078947,1
0.17229,0.077132,1
0.17555,0.083485,1
0.17746,0.086207,1
0.17336,0.076225,1
0.17306,0.073503,1
0.17447,0.064428,1
0.17137,0.057169,1
0.17342,0.057169,1
0.17992,0.052632,1
0.18298,0.046279,1
0.18706,0.052632,1
0.19271,0.061706,1
0.19454,0.064428,1
0.20246,0.056261,1
0.2141,0.052632,1
0.23024,0.059891,1
0.24933,0.061706,1
0.26158,0.057169,1
0.27033,0.055354,1
0.2708,0.062613,1
0.26842,0.064428,1
0.26818,0.064428,1
0.27803,0.055354,1
0.29537,0.04265,1
0.30449,0.032668,1
0.30781,0.023593,1
0.30393,0.021779,1
0.29742,0.020871,1
0.29219,0.022686,1
0.29564,0.028131,1
0.30033,0.028131,1
0.2934,0.027223,1
0.28454,0.033575,1
0.27155,0.04265,1
0.26487,0.046279,1
0.26378,0.043557,1
0.25317,0.041742,1
0.24702,0.04265,1
0.23802,0.034483,1
0.23313,0.033575,1
0.22193,0.051724,1
0.20106,0.052632,1
0.20402,0.041742,1
0.19735,0.039927,1
0.19263,0.037205,1
0.22543,0.033575,1
0.24277,0.03539,1
0.20881,0.036298,1
0.15739,0.03176,1
0.14006,0.036298,1
0.12612,0.040835,1
0.095351,0.043557,1
0.085524,0.041742,1
0.1027,0.032668,1
0.10916,0.033575,1
0.10594,0.033575,1
0.1169,0.030853,1
0.11644,0.03176,1
0.11379,0.029946,1
0.11397,0.028131,1
0.11152,0.024501,1
0.10975,0.021779,1
0.076888,0.028131,1
0.029784,0.043557,1
0.018392,0.036298,1
0.017244,0.018149,1
0.0092862,0.044465,1
0.0081317,0.053539,1
0.010933,0.03176,1
0.011548,0.025408,0
0.010044,0.023593,0
0.005248,0.038113,0
0.0020845,0.088929,0
0.00075788,0.11887,0
0.00016916,0.11434,0
