@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0,0.10254,0,8,0
0.0005254,0.098004,0.13876,3,0
0.0012652,0.097096,0.10411,7,0
0.002677,0.12976,0.032376,11,0
0.0029987,0.16515,0.074116,20,1
0.042627,0.12432,0.3941,2,1
0.11798,0.054446,0.56689,2,1
0.15303,0.043557,0.58999,3,1
0.15311,0.052632,0.84662,6,1
0.16563,0.056261,0.83336,6,1
0.17419,0.059891,0.6918,6,1
0.18614,0.069873,0.89374,6,1
0.21247,0.083485,0.97049,6,1
0.21822,0.092559,0.90437,6,1
0.21259,0.092559,0.84129,6,1
0.22416,0.087114,0.79021,6,1
0.24417,0.087114,0.91498,6,1
0.24634,0.10436,0.856,6,1
0.25649,0.10799,0.8044,6,1
0.28668,0.090744,0.9081,7,1
0.29696,0.084392,0.94384,7,1
0.29598,0.077132,0.94346,7,1
0.28746,0.076225,0.95245,7,1
0.27694,0.089837,0.9865,7,1
0.27114,0.10073,0.98663,7,1
0.26547,0.082577,0.96155,7,1
0.27311,0.068058,1.0017,7,1
0.27822,0.062613,1.0653,3,1
0.2861,0.057169,1.0837,2,1
0.31124,0.049909,1.1061,2,1
0.33114,0.029946,1.1326,2,1
0.33227,0.03176,1.0773,2,1
0.32134,0.043557,1.0166,2,1
0.31171,0.044465,1.0059,2,1
0.30846,0.047187,0.96132,2,1
0.31933,0.049909,0.93145,2,1
0.34308,0.045372,1.0214,2,1
0.3595,0.043557,1.0718,2,1
0.36974,0.044465,1.0953,2,1
0.3789,0.046279,1.1194,2,1
0.38529,0.046279,1.1223,2,1
0.39849,0.033575,1.1333,2,1
0.40678,0.024501,1.1322,2,1
0.40336,0.033575,1.1011,2,1
0.39726,0.043557,1.0773,2,1
0.4029,0.045372,1.0923,2,1
0.41399,0.039927,1.129,2,1
0.41424,0.029946,1.1562,2,1
0.41366,0.024501,1.1788,2,1
0.42817,0.029038,1.1866,2,1
0.45851,0.029946,1.1281,2,1
0.47576,0.025408,1.1796,2,1
0.43847,0.023593,1.1781,2,1
0.35914,0.022686,1.1917,2,1
0.28869,0.022686,1.0449,2,1
0.21964,0.021779,1.2184,2,1
0.13372,0.038113,1.0243,2,1
0.056478,0.084392,0.81455,2,1
0.018861,0.11525,0.2073,7,1
0.0090308,0.096189,0.13439,7,1
0.0065509,0.062613,0.42336,3,1
0.0065101,0.045372,0.91545,2,0
0.0044161,0.059891,0.92053,2,0
0.00015682,0.069873,0,2,0
0,0.07804,0,6,0
0.0014276,0.072595,0,7,0
0.0015325,0.058984,0.046257,7,0
0.0014362,0.087114,0.28909,9,0
0.0035158,0.10708,0.42786,7,0
0.0092364,0.098911,0.71512,8,0
0.011616,0.099819,0.64916,7,0
0.0098613,0.11343,0.39981,10,0
0.0085003,0.13067,0.21372,10,0
0.0058762,0.14882,0.15671,19,0
0.0044544,0.15789,0.1712,17,0
0.004678,0.14519,0.38027,10,0
0.0041098,0.12886,0.28757,15,0
0.0023899,0.1225,0.12837,19,0
0,0.12886,0.11084,19,0
0,0.1216,0.21345,11,0
0,0.094374,0.097634,11,0
0,0.11434,0.1582,12,0
0,0.10889,0.13132,24,0
0.00033878,0.11343,0.05965,17,0
0.0011657,0.12976,0.15667,17,0
0.0042903,0.13067,0.20604,12,0
0.022135,0.11162,0.37871,2,1
0.11168,0.050817,1.1602,2,1
0.16744,0.032668,1.4117,2,1
0.1945,0.039927,1.4811,2,1
0.20869,0.044465,1.4382,2,1
0.21379,0.046279,1.4052,2,1
0.22045,0.046279,1.37,9,1
0.22929,0.04265,1.3365,8,1
0.23873,0.04265,1.3419,2,1
0.24539,0.049002,1.374,2,1
0.24844,0.052632,1.4011,2,1
0.24763,0.046279,1.4068,2,1
0.24662,0.040835,1.4263,2,1
0.24612,0.041742,1.4213,2,1
0.24966,0.04265,1.418,2,1
0.24867,0.04265,1.4281,2,1
0.24675,0.04265,1.4647,2,1
0.24603,0.040835,1.4963,2,1
0.24227,0.047187,1.5023,2,1
0.24055,0.056261,1.4803,2,1
0.23991,0.067151,1.4842,3,1
0.23254,0.064428,1.472,2,1
0.22341,0.060799,1.4283,2,1
0.21503,0.062613,1.4122,2,1
0.20927,0.065336,1.4328,3,1
0.19845,0.073503,1.391,7,1
0.18318,0.071688,1.3209,11,1
0.18056,0.07078,1.3245,13,1
0.17793,0.07441,1.3206,13,1
0.18083,0.07441,1.3189,12,1
