@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0,0.10254,0,5.2854,0,0
0.0005254,0.098004,0.15759,5.2594,215.33,0
0.0012652,0.097096,5.9154,5.3065,1205.9,0
0.002677,0.12976,21.998,5.4885,172.27,0
0.0029987,0.16515,24.071,5.5117,172.27,1
0.042627,0.12432,0,5.2883,0,1
0.11798,0.054446,1160.5,4.7392,0,1
0.15303,0.043557,1670.4,4.759,0,1
0.15311,0.052632,1407.1,4.5461,0,1
0.16563,0.056261,1598.3,4.6393,0,1
0.17419,0.059891,1842.2,4.8211,21.533,1
0.18614,0.069873,1952.5,4.6152,21.533,1
0.21247,0.083485,2226.7,4.3435,21.533,1
0.21822,0.092559,2375.4,4.5463,43.066,1
0.21259,0.092559,2358.3,4.637,21.533,1
0.22416,0.087114,2597.1,4.7844,21.533,1
0.24417,0.087114,2745.6,4.518,43.066,1
0.24634,0.10436,2886.2,4.6711,43.066,1
0.25649,0.10799,3033.4,4.7898,43.066,1
0.28668,0.090744,3725.3,4.658,43.066,1
0.29696,0.084392,3422.7,4.3657,64.6,1
0.29598,0.077132,3511.9,4.457,64.6,1
0.28746,0.076225,3401.5,4.4561,43.066,1
0.27694,0.089837,3054.1,4.4385,43.066,1
0.27114,0.10073,2941.7,4.3903,43.066,1
0.26547,0.082577,2857.4,4.3383,43.066,1
0.27311,0.068058,2993.6,4.4427,43.066,1
0.27822,0.062613,2809.4,4.5054,43.066,1
0.2861,0.057169,2897,4.3734,64.6,1
0.31124,0.049909,2921.1,4.2427,64.6,1
0.33114,0.029946,3196,4.3726,64.6,1
0.33227,0.03176,3245.7,4.2772,64.6,1
0.32134,0.043557,3262.8,4.332,64.6,1
0.31171,0.044465,3208.2,4.3417,86.133,1
0.30846,0.047187,3208.3,4.4547,86.133,1
0.31933,0.049909,3284.9,4.394,86.133,1
0.34308,0.045372,3417.2,4.2068,86.133,1
0.3595,0.043557,3494.2,4.186,86.133,1
0.36974,0.044465,3596.6,4.206,86.133,1
0.3789,0.046279,3678.7,4.1119,86.133,1
0.38529,0.046279,3761.1,4.1733,86.133,1
0.39849,0.033575,3772.8,4.0683,86.133,1
0.40678,0.024501,3837.5,4.0698,86.133,1
0.40336,0.033575,3925.1,4.1639,86.133,1
0.39726,0.043557,3925.4,4.1979,86.133,1
0.4029,0.045372,3952.4,4.1153,86.133,1
0.41399,0.039927,3808,3.9727,86.133,1
0.41424,0.029946,3530.5,3.8876,86.133,1
0.41366,0.024501,3353.9,3.8163,86.133,1
0.42817,0.029038,3356.7,3.8153,86.133,1
0.45851,0.029946,3541.6,3.707,86.133,1
0.47576,0.025408,3855.5,3.5803,107.67,1
0.43847,0.023593,3259.6,3.6082,107.67,1
0.35914,0.022686,2710.1,3.8238,107.67,1
0.28869,0.022686,1808.1,3.9439,107.67,1
0.21964,0.021779,1567,4.0169,86.133,1
0.13372,0.038113,501.32,4.609,43.066,1
0.056478,0.084392,85.688,5.2066,0,1
0.018861,0.11525,7.1929,5.5821,107.67,1
0.0090308,0.096189,9.2935,5.4706,86.133,1
0.0065509,0.062613,13.358,5.3391,107.67,1
