@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
66.973,0,5.2854,0,710.6,0,0.45265,0,8,0,0
67.131,0.15759,5.2594,0.025911,925.93,215.33,0.59141,0.13876,3,5,0
72.889,5.9154,5.3065,0,1916.5,1205.9,0.55676,0.10411,7,1,0
88.971,21.998,5.4885,0,882.86,172.27,0.48503,0.032376,11,0,0
91.045,24.071,5.5117,0,882.86,172.27,0.52677,0.074116,20,0,1
63.013,0,5.2883,0.22337,538.33,0,0.84675,0.3941,2,18,1
1223.6,1160.5,4.7392,0.77251,495.26,0,1.0195,0.56689,2,18,1
1733.4,1670.4,4.759,0.75264,452.2,0,1.0426,0.58999,3,17,1
1470.1,1407.1,4.5461,0.96558,430.66,0,1.2993,0.84662,6,14,1
1661.4,1598.3,4.6393,0.87232,430.66,0,1.286,0.83336,6,14,1
1905.2,1842.2,4.8211,0.69057,452.2,21.533,1.1444,0.6918,6,14,1
2015.5,1952.5,4.6152,0.89651,452.2,21.533,1.3464,0.89374,6,14,1
2289.7,2226.7,4.3435,1.1681,452.2,21.533,1.4231,0.97049,6,14,1
2438.5,2375.4,4.5463,0.96535,473.73,43.066,1.357,0.90437,6,14,1
2421.3,2358.3,4.637,0.87465,452.2,21.533,1.2939,0.84129,6,14,1
2660.1,2597.1,4.7844,0.72725,452.2,21.533,1.2429,0.79021,6,14,1
2808.6,2745.6,4.518,0.99362,473.73,43.066,1.3676,0.91498,6,14,1
2949.2,2886.2,4.6711,0.84055,473.73,43.066,1.3086,0.856,6,14,1
3096.4,3033.4,4.7898,0.72181,473.73,43.066,1.2571,0.8044,6,14,1
3788.3,3725.3,4.658,0.85364,473.73,43.066,1.3607,0.9081,7,13,1
3485.7,3422.7,4.3657,1.1459,495.26,64.6,1.3965,0.94384,7,13,1
3574.9,3511.9,4.457,1.0547,495.26,64.6,1.3961,0.94346,7,13,1
3464.5,3401.5,4.4561,1.0556,473.73,43.066,1.4051,0.95245,7,13,1
