,3db,,,,50db,,,,50+3db,,,
,3db,50db,7db*,Mean,3db,50db,7db*,Mean,3db,50db,7db*,Mean
Zeit,82.67%,85.29%,77.46%,"81,81%",49.33%,94.57%,48.66%,"64,19%",77.54%,92.47%,84.38%,"84,80%"
Freq,83.23%,89.28%,82.71%,"85,07%",70.43%,95.49%,55.06%,"73,66%",81.37%,93.84%,75.16%,"83,46%"
Ceps,88.56%,94.74%,93.09%,"92,13%",88.27%,94.77%,92.70%,"91,91%",88.33%,94.81%,92.57%,"91,91%"
Corr,79.86%,52.17%,82.33%,"71,45%",72.65%,86.93%,78.36%,"79,31%",80.21%,84.04%,85.15%,"83,13%"
Zeit+Freq,83.72%,79.02%,85.53%,"82,76%",67.46%,95.40%,55.06%,"72,64%",81.36%,92.03%,75.16%,"82,85%"
Zeit+Ceps,89.08%,94.78%,92.83%,"92,23%",83.17%,95.25%,87.84%,"88,75%",89.27%,94.86%,92.45%,"92,19%"
Zeit+Corr,83.66%,88.76%,84.89%,"85,77%",49.33%,95.81%,48.66%,"64,60%",80.45%,92.27%,88.48%,"87,06%"
Freq+Ceps,89.01%,94.87%,92.19%,"92,02%",70.67%,95.52%,55.06%,"73,75%",88.62%,95.37%,91.42%,"91,80%"
Freq+Corr,82.92%,89.28%,82.71%,"84,97%",70.52%,95.57%,55.06%,"73,72%",81.76%,94.57%,74.90%,"83,74%"
