@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0053629,0,0,0
0.0037031,0,0,0
0.012599,1,23,0
0.014016,2,14,0
0.016443,2,15,1
0.014562,2,14,1
0.01723,2,15,1
0.030876,1,15,1
0.04401,3,15,1
0.047067,4,4,1
0.06064,4,5,1
0.044793,4,5,1
0.045668,4,4,1
0.054312,4,4,1
0.058461,4,4,1
0.06382,4,4,1
0.064687,4,4,1
0.058751,4,4,1
0.075354,4,4,1
0.082638,4,4,1
0.046291,4,4,1
0.057401,4,4,1
0.061356,4,4,1
0.06044,4,4,1
0.041142,4,4,1
0.034035,4,4,1
0.053563,4,5,1
0.051075,4,4,1
0.057269,4,4,1
0.045007,4,4,1
0.042627,4,4,1
0.040184,5,4,1
0.043228,5,4,1
0.043486,4,4,1
0.048062,5,5,1
0.056742,5,5,1
0.040275,6,4,1
0.050406,6,4,1
0.051561,6,4,1
0.054432,5,5,1
0.050946,5,5,1
0.055139,5,4,1
0.069914,5,4,1
0.077084,6,4,1
0.084459,6,4,1
0.072591,5,4,1
0.068478,3,4,1
0.056471,4,4,1
0.045819,4,4,1
0.043198,3,4,1
0.031621,3,3,1
0.019644,1,13,1
0.028784,3,3,1
0.030715,4,3,1
0.039045,3,3,1
0.048086,3,3,1
0.041102,2,4,1
0.046005,1,13,1
0.030389,1,13,1
0.027036,1,13,1
0.012876,1,13,1
0.0034698,0,0,0
0.0033417,0,0,0
0.0018977,0,0,0
0.0029938,0,0,0
0.0038211,0,0,0
0.011845,1,23,0
0.009561,0,0,0
0.016581,1,21,0
0.019383,1,24,0
0.028447,1,23,0
0.016027,1,24,0
0.029848,2,15,0
0.016891,2,15,0
0.022895,1,15,0
0.018288,1,22,0
0.015071,2,15,0
0.01392,1,15,0
0.015155,1,15,0
0.0080033,0,0,0
0.0049231,0,0,0
0.001841,0,0,0
0.0011425,0,0,0
0.0008105,0,0,0
0.0059993,0,0,0
0.0079195,0,0,0
0.0077063,0,0,1
0.0038944,0,0,1
0.034005,3,4,1
0.040307,2,4,1
0.049547,4,4,1
0.046426,4,4,1
0.047174,4,4,1
0.054936,4,4,1
0.045579,3,4,1
0.053133,3,4,1
0.042479,4,4,1
0.047751,4,4,1
0.050013,4,4,1
0.04892,4,4,1
0.051041,4,4,1
0.043902,3,4,1
0.043732,4,4,1
0.049901,4,4,1
0.039602,4,4,1
0.054089,2,4,1
0.055643,3,4,1
0.068548,3,4,1
0.07451,3,5,1
0.058757,3,4,1
0.061837,3,4,1
0.051233,3,4,1
0.060822,4,4,1
0.064755,4,4,1
0.060411,4,4,1
0.057878,4,4,1
0.061025,4,4,1
0.061064,4,4,1
0.060989,3,4,1
0.058925,4,4,1
0.061403,4,4,1
0.056773,3,4,1
0.054869,3,4,1
0.052834,3,4,1
0.053268,3,4,1
0.053071,3,4,1
0.054887,3,4,1
0.046698,3,4,1
0.052593,3,4,1
0.056149,3,4,1
0.063611,3,4,1
0.057173,3,4,1
0.044388,4,4,1
0.051174,3,4,1
0.049968,3,4,1
0.062787,4,4,1
0.054515,3,4,1
0.045489,3,4,1
0.042064,4,4,1
0.035876,3,4,1
0.036256,4,4,1
0.040238,4,4,1
0.034356,1,12,1
0.035893,1,12,1
0.03578,3,4,1
0.042396,3,13,1
0.045374,2,13,1
0.05759,3,4,1
0.061284,3,4,1
0.065037,4,4,1
0.05337,3,4,1
0.059074,4,4,1
0.067908,4,4,1
0.065216,4,4,1
0.065423,4,4,1
0.058607,3,5,1
0.065811,4,4,1
0.06211,3,5,1
0.068274,4,5,1
0.064554,4,5,1
0.067564,4,5,1
0.062445,4,5,1
0.062455,4,5,1
0.060428,4,5,1
0.050547,4,5,1
0.050091,4,5,1
0.061305,3,4,1
0.063691,2,5,1
0.056059,3,4,1
0.042735,1,14,1
0.054352,2,13,1
0.062726,2,13,1
0.057258,1,13,1
0.051153,1,13,1
0.053221,1,14,1
0.052709,1,14,1
0.061396,1,13,1
0.061384,1,13,1
0.061531,1,14,1
0.053657,1,13,1
0.055649,1,13,1
0.049416,1,13,1
0.03792,1,13,1
0.037193,1,13,1
0.038499,1,13,1
0.032158,1,13,1
0.025314,1,13,1
0.020692,1,13,1
0.011813,1,13,1
0.005251,0,0,1
0.012143,1,19,1
0.0032361,0,0,1
0.0071064,0,0,1
0.0024193,0,0,1
0.0051232,0,0,1
0.0025872,0,0,1
5.809e-05,0,0,1
0.00037019,0,0,1
0.0025863,0,0,1
0.0049656,0,0,1
0.0038748,0,0,0
0.0021835,0,0,0
0.0036753,0,0,0
0.003271,0,0,0
0.0064139,0,0,0
0.0053362,0,0,0
0.0074631,0,0,0
0.0052054,0,0,0
0.0051295,0,0,0
0.004962,0,0,0
0.0055974,0,0,0
0.0035087,0,0,0
0.0029035,0,0,0
0.0046706,0,0,0
0.0022832,0,0,0
0.0019002,0,0,0
0.0025978,0,0,0
0.0018858,0,0,0
0.0023821,0,0,0
0.0013251,0,0,0
0.002428,0,0,0
0.0017317,0,0,0
0.0012584,0,0,0
0.00092492,0,0,0
0.0011783,0,0,0
0.0013041,0,0,0
0.001524,0,0,0
0.0007125,0,0,0
0.00054682,0,0,0
