@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.45265,35,0
0.59141,25,0
0.55676,35,0
0.48503,59,0
0.52677,97,1
0.30833,35,1
0.76086,15,1
0.88301,22,1
1.1518,29,1
1.1487,30,1
0.94736,24,1
1.1713,32,1
1.2672,33,1
1.1944,33,1
1.1166,32,1
1.0225,33,1
1.2228,33,1
1.133,33,1
1.0214,34,1
1.166,33,1
1.2562,34,1
1.2628,34,1
1.2536,33,1
1.2805,34,1
1.3002,34,1
1.2602,34,1
1.3005,34,1
1.3571,10,1
1.4397,9,1
1.5203,9,1
1.5706,9,1
1.5468,9,1
1.5026,9,1
1.5105,9,1
1.5024,9,1
1.5166,9,1
1.574,9,1
1.5898,9,1
1.5722,9,1
1.578,9,1
1.575,10,1
1.5859,10,1
1.585,9,1
1.5759,9,1
1.571,9,1
1.5838,9,1
1.6019,9,1
1.6024,9,1
1.5965,9,1
1.6032,9,1
1.5647,10,1
1.6322,10,1
1.6307,10,1
1.6443,10,1
1.4388,10,1
1.4892,9,1
1.0752,8,1
0.82034,19,1
0.37672,51,1
0.58704,54,1
0.87602,16,1
1.3326,10,0
0.94472,12,0
0.49943,28,0
0.34469,37,0
0.46339,43,0
0.279,37,0
0.46058,47,0
0.47199,37,0
0.65076,39,0
0.54557,34,0
0.36553,43,0
0.39964,58,0
0.33959,89,0
0.25163,80,0
0.46305,62,0
0.37036,72,0
0.25886,74,0
0.35697,86,0
0.29624,58,0
0.35427,53,0
0.32543,68,0
0.27145,123,0
0.21092,84,0
0.29706,74,0
0.30693,74,0
0.2448,25,1
0.94027,16,1
1.3472,9,1
1.4296,9,1
1.4214,9,1
1.4023,9,1
1.4334,26,1
1.4417,23,1
1.4377,9,1
1.4565,9,1
1.4704,9,1
1.4472,9,1
1.4695,9,1
1.4799,9,1
1.485,10,1
1.4597,9,1
1.445,9,1
1.459,9,1
1.46,9,1
1.4294,9,1
1.4332,10,1
1.4068,9,1
1.3352,8,1
1.3396,8,1
1.3584,9,1
1.3221,28,1
1.2465,27,1
1.2474,55,1
1.251,61,1
1.2556,58,1
1.2764,40,1
1.2541,12,1
1.3014,11,1
1.3078,20,1
1.2704,14,1
1.2474,14,1
1.2791,14,1
1.3653,9,1
1.4099,8,1
1.398,8,1
1.3841,12,1
1.3795,21,1
1.3723,40,1
1.2597,32,1
1.1274,27,1
1.1288,23,1
1.174,23,1
1.2057,23,1
1.1936,23,1
1.1992,23,1
1.2226,22,1
1.2179,23,1
1.2204,23,1
1.2249,25,1
1.2317,24,1
1.2423,40,1
1.3344,40,1
1.3737,40,1
1.3644,40,1
1.3821,40,1
1.4002,40,1
1.3279,27,1
1.4731,13,1
1.4884,9,1
1.52,37,1
1.4995,13,1
1.5053,9,1
1.5242,9,1
1.5052,9,1
1.48,9,1
1.4818,9,1
1.4773,9,1
1.4555,9,1
1.4396,9,1
1.4444,9,1
1.4313,9,1
1.3822,9,1
1.3656,9,1
1.3701,9,1
1.3583,9,1
1.3036,9,1
1.2256,14,1
1.1749,18,1
1.1618,24,1
1.189,24,1
1.2304,20,1
1.2461,23,1
1.283,15,1
1.2351,15,1
1.3359,14,1
1.4526,13,1
1.5509,13,1
1.4876,12,1
1.4817,12,1
1.4242,12,1
1.3886,13,1
1.0132,14,1
0.59559,20,1
0.5921,15,1
0.59791,11,1
0.61449,10,1
0.81837,13,1
1.0027,12,1
0.35712,13,1
0.95085,9,1
1.218,9,1
1.4936,9,1
1.3891,9,1
0.58633,8,1
1.0576,8,1
1.1429,8,1
1.0741,8,1
1.0001,9,1
1.3149,8,1
1.4792,8,0
1.4215,9,0
1.371,9,0
0.87597,26,0
0.35071,49,0
0.39233,51,0
0.39111,49,0
0.33186,47,0
0.39248,52,0
0.4028,50,0
0.3431,56,0
0.31297,52,0
0.2712,91,0
0.30481,81,0
0.2864,93,0
0.31415,115,0
0.41163,108,0
0.30688,106,0
0.32342,105,0
0.23511,97,0
0.34792,107,0
0.37647,127,0
0.33085,142,0
0.24919,146,0
0.26019,133,0
0.15336,156,0
0.19871,153,0
0.16995,155,0
0.23599,172,0
0.41982,149,0
0.34198,167,0
0.31658,152,0
0.23422,186,0
0.3829,148,0
0.28926,169,0
0.13805,204,0
0.22902,166,0
0.29075,130,0
0.26468,148,0
0.27352,133,0
0.29407,113,0
0.25872,101,0
0.24082,102,0
0.26096,102,0
0.27908,122,0
0.20794,136,0
0.26105,119,0
0.25549,106,0
0.28423,87,0
0.27755,88,0
0.31524,88,0
0.32964,60,0
0.21243,58,0
0.2812,44,0
0.46952,27,0
0.5155,61,0
0.66212,41,0
0.40882,127,0
0.29143,209,0
0.29384,206,0
0.43809,166,0
0.65711,138,0
0.29975,162,0
0.41896,119,0
0.65761,35,0
0.54321,62,0
0.59376,145,0
0.47422,117,0
0.75159,112,0
0.54129,117,0
0.44764,133,0
0.40157,180,0
0.3038,204,0
0.50108,73,0
0.84391,45,0
0.60965,116,0
0.45647,208,0
0.44371,210,0
0.47059,164,0
0.46422,177,0
0.49508,117,0
0.64906,135,0
0.36586,180,0
0.66935,112,0
0.97476,85,0
0.55907,101,0
0.54907,115,0
0.27739,178,0
0.26875,215,0
0.38261,222,0
0.72816,201,0
0.29581,205,0
0.24986,101,0
0.36546,70,0
0.25217,62,0
0.31202,73,0
0.32926,85,0
0.3777,85,0
0.27463,89,0
0.40934,112,0
0.24854,120,0
0.27204,126,0
0.23369,178,0
0.21106,230,0
0.31388,238,0
0.33623,218,0
0.27732,208,0
0.2576,184,0
0.46299,178,0
0.40267,70,0
0.36787,50,0
0.46486,102,0
0.35076,177,0
0.3943,121,0
0.44921,137,0
0.51918,138,0
0.48102,156,0
0.39642,141,0
0.26257,68,0
0.28375,57,0
0.23407,68,0
0.22761,54,0
0.22129,58,0
0.25701,65,0
0.33646,70,0
0.13595,95,0
0.23718,102,0
0.20525,97,0
0.23636,88,0
0.27739,62,0
0.38856,48,0
0.40408,27,0
0.23691,58,0
0.23443,74,0
0.20311,84,0
0.25922,89,0
0.35819,74,0
0.33571,53,0
0.35395,47,0
0.3892,63,0
0.34711,42,0
0.33447,47,0
0.35085,50,0
0.34629,53,0
0.45147,54,0
0.34687,55,0
0.31495,56,0
0.27514,62,0
0.32711,49,0
0.41028,44,0
0.29704,43,0
0.37322,58,0
0.35479,69,0
0.35174,52,0
0.51391,42,0
0.50081,31,0
0.40822,51,0
0.3085,40,0
0.34334,49,0
0.27518,88,0
0.32603,119,0
0.331,139,0
0.32009,140,0
0.33814,135,0
0.38788,73,0
0.31904,44,0
0.47572,38,0
0.81206,40,0
0.04562,14,0
0.00026753,4,0
0.0087333,29,0
0.30157,69,0
0.74664,19,1
0.64186,12,1
1.1881,13,1
0.62862,19,1
1.0919,16,1
1.1308,20,1
1.0108,11,1
1.2291,11,1
1.3046,15,1
1.47,40,1
1.4594,38,1
1.4591,40,1
1.3522,25,1
1.3209,23,1
1.2609,10,1
1.2399,19,1
1.2232,17,1
1.2358,17,1
1.3396,13,1
1.3643,13,1
1.3906,12,1
1.4523,11,1
1.5774,11,1
1.3654,11,1
1.179,10,1
1.1143,10,1
1.2528,13,1
1.177,14,1
1.3135,13,1
1.3051,19,1
1.1337,18,1
0.88848,18,1
1.035,19,1
1.1502,22,1
1.1842,15,1
1.2094,18,1
1.2786,23,1
1.2603,18,1
1.2523,18,1
1.2283,17,1
1.3082,23,1
1.3299,23,1
1.352,21,1
1.3872,15,1
1.3874,10,1
1.3575,11,1
1.2732,15,1
0.73749,26,1
0.38975,29,1
0.85986,18,1
1.5179,10,1
1.6574,10,1
1.5241,10,1
1.2982,10,1
1.5692,11,1
1.5861,11,1
1.631,11,1
1.5807,11,1
1.6149,10,1
1.6032,10,1
1.5803,10,1
1.5357,10,1
1.4965,9,1
1.563,9,1
1.5743,9,1
1.4564,9,1
1.4504,9,1
1.3834,8,1
1.4194,15,1
1.4893,18,1
1.5146,8,1
1.4998,8,1
1.5052,8,1
1.4984,21,1
1.4857,40,1
1.4749,40,1
1.4462,40,1
1.4272,40,1
1.4811,40,1
1.4887,40,1
1.366,40,1
1.2128,31,1
1.3923,42,1
1.426,42,1
1.4065,42,1
1.3827,42,1
1.4046,43,1
1.4265,30,1
1.469,13,1
1.5098,9,1
1.4961,9,1
1.4659,9,1
1.4224,9,1
1.383,9,1
1.4269,15,1
1.4802,9,1
1.5219,10,1
1.5563,10,1
1.5766,10,1
1.5766,10,1
1.5707,9,1
1.5624,9,1
1.5615,9,1
1.5809,9,1
1.5893,9,1
1.5935,9,1
1.5922,9,1
1.5414,9,1
1.5404,9,1
1.6042,9,1
1.619,9,1
1.6068,9,1
1.6203,9,1
1.597,9,1
1.605,9,1
1.5224,8,1
1.5333,8,1
1.3047,8,1
1.318,7,1
1.076,7,1
1.0781,9,1
1.1591,11,0
0.92707,8,0
1.262,11,0
0.63396,27,0
0.81343,31,0
0.67354,44,0
0.42548,38,0
0.58566,40,0
0.39372,40,0
0.29563,42,0
0.38951,42,0
0.42767,48,0
0.38398,40,0
0.41731,46,0
0.38673,41,0
0.32106,46,0
0.23265,87,0
0.21897,94,0
0.16313,89,0
0.19026,93,0
0.19909,86,0
0.22245,90,0
0.19118,99,0
0.2113,94,0
0.22166,77,0
0.20363,48,0
0.42791,27,0
0.80551,14,0
0.44864,15,0
0.34559,23,0
0.57303,20,0
0.50182,24,0
0.49374,38,0
0.7615,14,0
0.76238,15,0
0.742,23,0
0.6954,24,0
0.66123,22,0
0.59341,21,0
0.73478,14,0
0.74965,18,0
0.92778,14,0
0.95118,19,0
0.87277,19,0
0.63807,25,0
0.53476,37,0
0.48622,33,0
0.7015,24,0
0.92498,37,0
0.50471,42,0
0.50886,39,0
0.52391,38,1
0.57397,38,1
0.78221,20,1
1.4114,10,1
0.86468,10,1
0.64686,10,1
0.53303,11,1
0.98488,10,1
1.3337,11,1
1.4151,10,1
1.0968,24,1
0.74928,49,1
0.61255,38,1
0.87414,26,1
0.50782,41,1
0.46953,37,1
0.76712,31,1
0.62328,41,0
0.61578,41,0
0.45544,40,0
0.38821,40,0
0.4175,63,0
0.32603,42,0
0.38081,94,0
0.42205,114,0
0.45591,37,0
0.79475,30,0
0.82378,37,0
0.91558,32,0
0.8865,25,0
0.86972,23,0
0.87535,30,0
0.87969,32,0
0.86837,37,0
0.84934,30,0
0.8092,35,0
0.7597,27,0
0.92208,15,0
0.89701,13,0
0.82396,15,0
0.65835,24,0
0.57947,20,0
0.61542,24,0
0.54502,24,0
0.54777,21,0
0.65526,26,0
0.33883,32,0
0.44934,25,0
0.59946,23,0
0.3573,41,0
0.35563,41,0
0.25084,81,0
0.23299,76,0
0.32867,80,0
0.59677,47,0
0.19495,39,0
0.32231,29,0
0.26889,37,0
0.28397,52,0
0.36837,132,0
0.36146,154,0
0.39982,181,0
0.309,188,0
0.2989,208,0
0.17068,148,0
0.25743,144,0
0.23267,79,0
0.25622,71,0
0.14773,37,0
0.46623,40,0
0.39508,28,0
0.53456,29,0
0.37046,34,0
0.49236,33,0
0.56736,27,0
0.50325,41,0
0.29973,80,0
0.25788,76,0
0.24524,91,0
0.26313,93,0
0.28138,87,0
0.25813,66,0
0.31601,45,0
0.2318,42,0
0.35802,53,0
0.27255,85,0
0.26234,92,0
0.3402,84,0
0.30215,101,0
0.24838,106,0
0.24207,106,0
0.21349,104,0
0.25033,121,0
0.22598,117,0
0.24067,116,0
0.23936,98,0
0.34615,109,0
0.24763,107,0
0.20904,94,0
0.20723,114,0
0.23891,108,0
0.19471,128,0
0.25544,99,0
0.23034,103,0
0.30588,105,0
0.21078,102,0
0.20367,108,0
0.22163,138,0
0.1626,148,0
0.52189,86,0
0.54103,56,0
0.36018,58,0
0.34446,58,0
0.30295,49,0
0.32637,52,0
0.52852,45,0
0.41812,46,0
0.34007,52,0
0.35677,57,0
0.30017,57,0
0.38911,48,0
0.4466,43,0
0.26536,70,0
0.42206,45,0
0.46812,40,0
0.74827,38,0
0.4287,35,0
0.63773,37,0
0.38868,97,0
0.24764,121,0
0.39292,66,0
0.50096,73,0
0.34404,82,0
0.60014,42,0
0.37007,82,0
0.56489,83,0
0.38888,140,0
0.16529,68,0
0.90379,44,1
0.96953,30,1
0.76884,20,1
0.41026,18,1
0.48124,18,1
0.74145,12,1
1.1527,12,1
0.85516,16,1
1.27,20,1
1.1281,9,1
1.3106,9,1
1.6079,9,1
1.5946,10,1
1.1967,10,1
0.52619,50,1
0.37548,56,1
0.48062,44,1
0.50296,55,1
0.29757,45,1
0.53147,55,1
0.36017,49,1
0.37064,53,1
0.39213,47,1
0.30135,48,0
0.26824,44,0
0.33615,62,0
0.28922,116,0
0.38945,71,0
0.3432,64,0
0.22665,161,0
0.23199,163,0
0.27673,125,0
0.29612,118,0
0.24543,110,0
0.24542,89,0
0.27191,86,0
0.32094,88,0
0.23208,82,0
0.28536,94,0
0.39633,85,0
0.39163,70,0
0.44146,36,0
0.5895,26,0
0.54845,36,0
0.47692,59,0
0.53213,97,1
0.30869,35,1
0.76054,15,1
0.88264,22,1
1.1521,29,1
1.149,30,1
0.94682,24,1
1.1707,32,1
1.2678,33,1
1.194,33,1
1.1164,32,1
1.0231,33,1
1.2228,33,1
1.1334,33,1
1.0216,34,1
1.1668,33,1
1.2557,34,1
1.2632,34,1
1.2535,33,1
1.2805,34,1
1.3004,34,1
1.2602,34,1
1.3005,34,1
1.3572,10,1
1.4394,9,1
1.5202,9,1
1.5706,9,1
1.5466,9,1
1.5026,9,1
1.5104,9,1
1.5027,9,1
1.5166,9,1
1.5742,9,1
1.5898,9,1
1.5723,9,1
1.5782,9,1
1.5747,10,1
1.5861,10,1
1.5847,9,1
1.576,9,1
1.5712,9,1
1.5838,9,1
1.6019,9,1
1.6024,9,1
1.5966,9,1
1.6032,9,1
1.5646,10,1
1.6322,10,1
1.6308,10,1
1.6444,10,1
1.4388,10,1
1.4892,9,1
1.0751,8,1
0.81953,18,1
0.37468,50,1
0.59375,54,1
0.87907,17,1
1.3307,10,0
0.96262,14,0
0.51951,29,0
0.36378,36,0
0.44159,41,0
0.31216,37,0
0.47835,49,0
0.47176,37,0
0.65143,39,0
0.54348,34,0
