@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
-118.04,-5.9673,710.6,0.0053629,0,0,0
-114.28,-5.8897,925.93,0.0037031,0,0,0
-124.59,-5.9632,1916.5,0.012599,1,23,0
-150.21,-6.0711,882.86,0.014016,2,14,0
-171.48,-6.2006,882.86,0.016443,2,15,1
-142.68,-5.9607,538.33,0.014562,2,14,1
1135.4,-5.0043,495.26,0.01723,2,15,1
1650,-4.9567,452.2,0.030876,1,15,1
1383.9,-4.7959,430.66,0.04401,3,15,1
1558.6,-4.919,430.66,0.047067,4,4,1
1802.2,-5.0667,452.2,0.06064,4,5,1
1891.2,-4.9475,452.2,0.044793,4,5,1
2161.1,-4.7659,452.2,0.045668,4,4,1
2299.9,-4.9516,473.73,0.054312,4,4,1
2291.2,-5.0225,452.2,0.058461,4,4,1
2517.2,-5.18,452.2,0.06382,4,4,1
2691,-4.8836,473.73,0.064687,4,4,1
2818.3,-5.0428,473.73,0.058751,4,4,1
2961,-5.1449,473.73,0.075354,4,4,1
3644.4,-5.0025,473.73,0.082638,4,4,1
3374.8,-4.6868,495.26,0.046291,4,4,1
3450.6,-4.7841,495.26,0.057401,4,4,1
3337.7,-4.788,473.73,0.061356,4,4,1
2988.5,-4.7748,473.73,0.06044,4,4,1
2884.5,-4.7226,473.73,0.041142,4,4,1
2809.8,-4.6791,473.73,0.034035,4,4,1
2943.5,-4.7726,473.73,0.053563,4,5,1
2747.7,-4.8382,473.73,0.051075,4,4,1
2840.1,-4.7089,495.26,0.057269,4,4,1
2890.8,-4.5979,495.26,0.045007,4,4,1
3148.6,-4.7767,495.26,0.042627,4,4,1
3202.8,-4.6669,495.26,0.040184,5,4,1
3207,-4.7893,495.26,0.043228,5,4,1
3159.8,-4.7686,516.8,0.043486,4,4,1
3125.5,-4.9854,516.8,0.048062,5,5,1
3235.2,-4.848,516.8,0.056742,5,5,1
3399.2,-4.6914,516.8,0.040275,6,4,1
3486.3,-4.6536,516.8,0.050406,6,4,1
3571.4,-4.6992,516.8,0.051561,6,4,1
3691.5,-4.5753,516.8,0.054432,5,5,1
3767.9,-4.6629,516.8,0.050946,5,5,1
3804.3,-4.5476,516.8,0.055139,5,4,1
3865.5,-4.57,516.8,0.069914,5,4,1
3947.5,-4.6557,516.8,0.077084,6,4,1
3946.6,-4.7135,516.8,0.084459,6,4,1
3977.1,-4.605,516.8,0.072591,5,4,1
3843,-4.4396,516.8,0.068478,3,4,1
3540.5,-4.3467,516.8,0.056471,4,4,1
3343.4,-4.2801,516.8,0.045819,4,4,1
3331.5,-4.2709,516.8,0.043198,3,4,1
3515,-4.1708,516.8,0.031621,3,3,1
3846.2,-4.0325,538.33,0.019644,1,13,1
3222.5,-4.0919,538.33,0.028784,3,3,1
2641,-4.2843,538.33,0.030715,4,3,1
1748.5,-4.4084,538.33,0.039045,3,3,1
1523.3,-4.4228,516.8,0.048086,3,3,1
461.05,-5.0865,473.73,0.041102,2,4,1
60.981,-5.6272,430.66,0.046005,1,13,1
-147.56,-6.0487,538.33,0.030389,1,13,1
-133.4,-5.9134,516.8,0.027036,1,13,1
-131.65,-5.916,538.33,0.012876,1,13,1
-95.271,-5.567,516.8,0.0034698,0,0,0
-107.22,-5.821,538.33,0.0033417,0,0,0
-99.015,-5.7175,495.26,0.0018977,0,0,0
-102.79,-5.9646,258.4,0.0029938,0,0,0
-98.02,-5.7163,129.2,0.0038211,0,0,0
-103.28,-5.7972,86.133,0.011845,1,23,0
-115.76,-5.8945,301.46,0.009561,0,0,0
-126.01,-5.8838,1959.5,0.016581,1,21,0
-115.48,-5.7501,1981.1,0.019383,1,24,0
-95.904,-5.6666,1851.9,0.028447,1,23,0
-140.22,-5.9467,258.4,0.016027,1,24,0
-133.7,-5.9044,2024.1,0.029848,2,15,0
-145.54,-5.9891,193.8,0.016891,2,15,0
-149.15,-6.0387,2067.2,0.022895,1,15,0
-130.69,-5.8758,2002.6,0.018288,1,22,0
-137.07,-5.9626,215.33,0.015071,2,15,0
-132.23,-5.9741,236.87,0.01392,1,15,0
-113.9,-5.9099,193.8,0.015155,1,15,0
-103.82,-6.1157,129.2,0.0080033,0,0,0
-103.35,-6.2585,258.4,0.0049231,0,0,0
-87.836,-6.2339,236.87,0.001841,0,0,0
-73.854,-6.2734,387.6,0.0011425,0,0,0
-73.261,-6.3249,107.67,0.0008105,0,0,0
-96.498,-6.1053,258.4,0.0059993,0,0,0
-124.54,-6.1044,495.26,0.0079195,0,0,0
-128.21,-5.9428,538.33,0.0077063,0,0,1
822.44,-4.7283,516.8,0.0038944,0,0,1
1146,-4.6029,495.26,0.034005,3,4,1
1607.3,-4.7949,473.73,0.040307,2,4,1
1812.6,-4.8409,473.73,0.049547,4,4,1
1878.3,-4.7456,473.73,0.046426,4,4,1
2001.9,-4.8121,473.73,0.047174,4,4,1
2184.4,-4.9128,495.26,0.054936,4,4,1
2170.1,-4.7568,495.26,0.045579,3,4,1
2232.4,-4.8234,495.26,0.053133,3,4,1
2219.8,-4.7288,495.26,0.042479,4,4,1
2220,-4.823,495.26,0.047751,4,4,1
2225.3,-4.8175,495.26,0.050013,4,4,1
2254.4,-4.7508,495.26,0.04892,4,4,1
2325.1,-4.8884,495.26,0.051041,4,4,1
2288.1,-4.7729,495.26,0.043902,3,4,1
2216,-4.7608,473.73,0.043732,4,4,1
2218.1,-4.8445,495.26,0.049901,4,4,1
2191.7,-4.7383,495.26,0.039602,4,4,1
2187.2,-4.9205,473.73,0.054089,2,4,1
2145,-4.7735,473.73,0.055643,3,4,1
2181.8,-4.9372,473.73,0.068548,3,4,1
